id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,關於腸內桿菌科（Enterobacteriaceae）O抗原（O antigen）的敘述，下列何者正確？,是控制物質進出細菌的通道,具有鞭毛蛋白（flagellin）,細菌細胞壁脂多醣體（lipopolysaccharide）的一部分,含胜肽聚醣（peptidoglycan），可用來維持細菌細胞壁的形態,C,,消化系統之細菌感染 張仲羽,O抗原是腸內桿菌科細菌的重要特徵之一，主要由細菌細胞壁的脂多醣體組成。這些O多醣體在細菌的免疫反應中扮演著關鍵角色，因為它們能夠被宿主的免疫系統識別。O抗原的存在使得細菌能夠抵抗宿主的免疫攻擊，並且在細菌的分類和鑑定中具有重要意義。選項A、B和D均不正確，因為O抗原並不涉及物質進出細菌的通道，也不包含鞭毛蛋白或胜肽聚醣。
2,腸內桿菌科（Enterobacteriaceae）細菌對下列何種糖類的發酵能力，常被用來作為初步鑑定之用？,葡萄糖（glucose）,蔗糖（sucrose）,乳糖（lactose）,阿拉伯糖（arabinose）,C,,消化系統之細菌感染 張仲羽,腸內桿菌科細菌的初步鑑定常依賴其對不同糖類的發酵能力。乳糖的發酵能力特別重要，因為許多腸內桿菌科的成員，如大腸桿菌（E. coli）和克雷白氏菌（Klebsiella），能夠有效發酵乳糖，這使得它們在特定培養基上形成明顯的菌落特徵。相對而言，沙門氏菌（Salmonella）和志賀氏菌（Shigella）則不發酵乳糖，這一特徵可用於區分病原菌與共生菌。
3,下列何者是腸內桿菌科（Enterobacteriaceae）病菌的共同特性？,均為人體內的共生菌（normal flora）,均具有氧化酶（oxidase）,均能發酵葡萄糖,均具有運動性,C,,消化系統之細菌感染 張仲羽,腸內桿菌科的細菌具有共同的特性，其中最重要的是它們均能發酵葡萄糖。這一特性使得它們在代謝上具有相似性，並且在臨床檢測中可作為鑑定的依據。雖然某些腸內桿菌科的成員是人體的共生菌，但也有許多是病原菌，如大腸桿菌、沙門氏菌和志賀氏菌等。這些病原菌不僅能夠引起感染，還可能導致嚴重的腸道疾病。
4,下列何者可用來區分傷寒桿菌（Salmonella typhi ）與大腸桿菌（Escherichia coli ）？,發酵乳糖（lactose）的能力,運動性（motility）,還原硝酸鹽（nitrate）的能力,產生芽胞（spores）的能力,A,,消化系統之細菌感染 張仲羽,區分傷寒桿菌（Salmonella typhi）與大腸桿菌（Escherichia coli）最有效的方法之一是檢測它們對乳糖的發酵能力。大腸桿菌能夠發酵乳糖，形成明顯的菌落特徵，而傷寒桿菌則不具此能力，這使得它們在特定培養基上表現出不同的生長特徵。此外，兩者均具運動性，且都能還原硝酸鹽，但這些特徵無法有效區分它們。因此，乳糖發酵能力成為鑑定的關鍵指標。
5,下列何種毒素的作用機轉與霍亂毒素（cholera toxin）類似？,白喉毒素,大腸桿菌的第一型熱不穩定毒素,副溶血弧菌的溶血素,痢疾志賀氏桿菌的侵入素,B,,消化系統之細菌感染 張仲羽,霍亂毒素（cholera toxin）是一種由霍亂弧菌產生的毒素，主要通過激活腺苷酸環化酶（adenylate cyclase）來增加細胞內cAMP的濃度，導致腸道上皮細胞分泌大量水分和電解質，從而引起嚴重的水瀉。大腸桿菌的第一型熱不穩定毒素（LT-Ⅰ）與霍亂毒素在結構和功能上有著高度的相似性，兩者均能激活腺苷酸環化酶，導致cAMP的增加，進而引發類似的病理反應。因此，選擇B作為正確答案是合適的，因為它們的作用機制相似，且LT-Ⅰ的結構與霍亂毒素有80%的同源性。
6,大腸桿菌O157:H7常引起出血性腹瀉，H7的H指的是細菌的那一部分？,鞭毛,脂多醣,核心多醣,莢膜,A,,消化系統之細菌感染 張仲羽,大腸桿菌O157:H7是一種病原性大腸桿菌，H7中的'H'代表細菌的鞭毛（flagella），而'O'則代表其表面抗原的脂多醣（lipopolysaccharide）部分。這種細菌因其產生的志賀毒素而引起出血性腹瀉，並且H7型的鞭毛抗原是其致病性的重要指標。了解這些細菌的分類和特徵對於診斷和治療相關感染至關重要。
7,一位8 歲孩童在吃過漢堡及生菜沙拉後48 小時，出現出血性腹瀉症狀，到醫院後又發現其有溶血性尿毒症，最有可能的病原菌是：,侵襲性大腸桿菌EIEC,腸道凝集性大腸桿菌EAEC,病原性大腸桿菌EPEC,產志賀氏毒素大腸桿菌STEC,D,,消化系統之細菌感染 張仲羽,"根據病史，這位8歲孩童在食用未煮熟的漢堡和生菜沙拉後出現出血性腹瀉，並且隨後發展為溶血性尿毒症（hemolytic uremic syndrome, HUS），這些症狀與產志賀氏毒素大腸桿菌（STEC）感染密切相關。STEC，特別是O157:H7型，常見於未煮熟的牛肉和生菜中，並且能夠引起嚴重的腸道症狀及併發症，如HUS。這使得選擇D作為正確答案是合理的，因為它是最符合病歷描述的病原體。"
8,關於產志賀毒素大腸桿菌（Shiga toxin-producing Escherichia coli）的敘述，下列何者錯誤？,會導致經由食物傳播的疾病,常引起人類嚴重感染症的血清型為O157:H7,疾病嚴重時可能會引起血性腹瀉,不產生stx1或stx2毒素,D,,消化系統之細菌感染 張仲羽,產志賀毒素大腸桿菌（STEC）是一種重要的病原菌，特別是血清型O157:H7，與食源性疾病密切相關。這種細菌能夠產生志賀毒素（Shiga toxin），這是其致病性的關鍵因素。選項D指出該菌不產生stx1或stx2毒素，這是錯誤的，因為STEC的定義正是基於其產生這些毒素的能力。這些毒素能夠引起嚴重的腸道症狀，包括血性腹瀉，並可能導致溶血性尿毒症候群等併發症。因此，了解STEC的特性及其致病機制對於預防和治療相關疾病至關重要。
9,產生腸毒素的大腸桿菌，其對熱穩定的毒素，有下列何種作用機制？,溶解脂肪，打破細胞膜,抑制蛋白質的合成,活化發炎反應,活化次級信號分子,D,,消化系統之細菌感染 張仲羽,腸毒素大腸桿菌（ETEC）所產生的熱穩定毒素（ST）和熱不穩定毒素（LT）是其致病機制的核心。這些毒素通過活化細胞內的次級信號分子，如cAMP和cGMP，來促進腸道上皮細胞的水分和電解質的分泌，最終導致腹瀉。ST毒素通過活化guanylate cyclase增加cGMP的水平，而LT毒素則通過活化adenylate cyclase增加cAMP的水平。這些變化會導致腸道細胞的功能失調，造成水分和電解質的流失，進而引發腹瀉。因此，了解這些毒素的作用機制對於治療和預防ETEC感染至關重要。
10,有關大腸桿菌（E. coli）致病性，下列敘述何者錯誤？,enterotoxigenic E. coli會引起旅行者腹瀉，其致病機轉是細菌侵入並破壞大腸表皮，造成黏膜潰瘍發炎,enteropathogenic E. coli 主要之致病機制為細菌黏附至小腸上皮細胞，破壞微絨毛,enterohemorrhagic E. coli 常見血清型為O157：H7，可產生Shiga toxin,E. coli之P pili與腎盂腎炎之形成有關,A,,消化系統之細菌感染 張仲羽,大腸桿菌（E. coli）是一種多樣化的細菌，根據其致病機制可分為多種類型。enterotoxigenic E. coli（ETEC）引起旅行者腹瀉的主要機制是通過質體產生腸毒素，而不是直接侵入和破壞腸道上皮。選項A的描述不正確，因為ETEC的致病機制主要是通過毒素的作用導致水分和電解質的流失，而不是細菌直接破壞腸道組織。相對地，enteropathogenic E. coli（EPEC）則是通過黏附和破壞微絨毛來引起病變。了解這些不同的致病機制對於診斷和治療E. coli感染至關重要。
