id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
"1","Which of the following experimental methods would allow simultaneous observation of both migration and bone resorption activity in individual osteoclasts?","(A) MicroCT","(B) Bone resorption assay","(C) Two Photone Time-Lapse recoding","(D) Immunohistochemistry staining (IHC)","C","（Ｃ） 選 項 如 老 師 講 義 所 述 ， 可 以 觀 察 蝕 骨 細 胞 的 移 動 能 力 (migration) ， 在 時 間 的 移 進之 下 ， 綠 色 細 胞 就 是 蝕 骨 細 胞 ， 後 面 黑 色 的 路 徑 就 是 它 走 的 路 ， 同 時 因 為 它 的 移 動 能力 就 是 來 自 分 解 骨 質 的 活 動 度 (bone resorption activity) ， 故 為 正 確 選 項","骨科學研究 鄭琮霖"
"2","Which of the following statements about the role of macrophages in the muscle wound healing process is incorrect?","(A) In the early stage of healing, they strengthen the local defense around the wound to prevent infection.","(B) They clear dead cells and tissues near the wound to control inflammation.","(C) They produce angiogenic signals to enhance neovascularization near the wound.","(D) They continuously maintain wound inflammation during healing to promote cell proliferation.","D","(D) 選 項 錯 誤。 因 為 在 正 常 的 癒 合 過 程 中 ， macrophages 會 在 初 期 促 進 發 炎 ， 但 之 後需 「 resolve inflammation 」 來 進 入 修 復 階 段 ， 若 持 續 維 持 發 炎 反 而 會 導 致 chronic wound 。","肌肉骨骼免疫學 李英瑞"
"3","Regarding the correct sequence of the four major stages of wound healing: ① Proliferation phase ② Hemostasis phase ③ Maturation phase ④ Inflammation phase, which is correct?","(A) ①②③④","(B) ②①④③","(C) ②④①③","(D) ④②①③","C","","肌肉骨骼免疫學 李英瑞"
"4","Rheumatoid arthritis (RA) is a disease driven by multiple inflammatory factors (cytokines). In current clinical practice, what is the most commonly used therapeutic approach?","(A) Anti-IL-17 therapy, drugs such as Secukinumab","(B) Anti-TNF- α therapy, drugs such as Certolizumab","(C) Anti-IL-1 β therapy, drugs such as Anakinra","(D) Anti-IFN- β therapy, drugs such as Anifrolumab","B","較 常 用 且 有 效 治 療 RA 的 生 物 製 劑 是 TNF-alpha blocker （老 師 上 課 有 說 不 是 IL-1 receptor antagonist 因 為 臨 床 是 治 療 效 果 不 佳）","肌肉骨骼免疫學 李英瑞"
"5","Which of the following is right","(A) Osteoprotegrin (OPG) can inhibit proliferation of osteoclast and induce the apoptosis of osteoclast","(B) Bisphosphonates may lead to the side effect of leg cramps","(C) Selective estrogen receptor modulator can reduce hip fracture rate","(D) Bisphosphonates increase the risk of throboembolism","A","(A) 正 確 (B) SERM and Teriparatide lead to the side effect of leg cramps (C) Denosumab can reduce hip fracture rate (D) SERM increase the risk of thromboembolism (venous)","骨質疏鬆藥物之藥物學 陳崇桓"
"6","Which of the following is right","(A) It takes more than one year to achieve the effect of fracture reduction by anti-osteoporotic medication","(B) Anti-sclerostin antibody can activate T cell lead to acute phase reaction","(C) Selective estrogen receptor modulator can have drug holiday","(D) Teriparatide cannot be use in those who have myocardial infarction or stroke","A","(A) (B) 急 性 期 反 應 ( 急 性 期 反 應 ) 是 靜 脈 注 射 型 雙 磷 酸 鹽 的 已 知 常 見 副 作 用 抗 硬 化 素 抗 體 (Romosozumab) 的 禁 忌 症 是 與 心 血 管 風 險 相 關 （一 年 內 曾 發 生 心 肌 梗塞 或 中 風） ， 並 未 提 及 它 會 透 過 活 化 T 細 胞 導 致 急 性 期 反 應 。 (C)SERM 、 雌 激 素 和 RANKL 抗 體 在 完 全 停 止 治 療 後 ， 都 會 有 骨 量 快 速 流 失 的 情 形 ( 骨 量 也 會 有 快 速 流 失 的 情 形 ) 。 藥 物 假 期 (drug holiday) 僅 被 提 及 適 用 於 雙 磷 酸 鹽 藥物 。 (D) 「一 年 內 曾 發 生 心 肌 梗 塞 或 中 風」 的 禁 忌 症 適 用 於 抗 硬 化 素 抗 體 (Romosozumab) 。","骨質疏鬆藥物之藥物學 陳崇桓"
"7","Which of the following is right","(A) Teriparatide cannot be use in those who have poor renal function","(B) Prolong anti-sclerostin antibody will lead to the risk of osteosarcoma","(C) Oral bisphosphonates is absorbed well with a absorption rate about 90%","(D) Denosumab can efficiently reduce hip fracture","D","(A)Bisphosphonate (CrCl<30ml/min) (B)Teriparatide (C)<1%","骨質疏鬆藥物之藥物學 陳崇桓"
"8","What is the “Elbow terrible triad”? Which of the following are included?","(A)Radial head fracture","(B) Coronoid fracture","(C)Elbow dislocation","(D) All of the above","D","","肩肘關節之骨科功能解剖學/骨科鑑別診斷 盧政昌"
"9","Shohei Ohtani experiences right shoulder pain after pitching. Which of the following is NOT correct?","(A) A SLAP lesion (Superior Labrum Anterior to Posterior) is a possible cause in this case.","(B)Injury to the biceps tendon does not need to be considered.","(C) In such cases, a rotator cuff injury should also be considered.","(D) An MRI can be performed to evaluate possible soft tissue injuries.","B","(A) 一 些 上 舉 的 動 作 如 投 球、 排 球、 大 動 作 拉 扯、 甩 出、 舉 手 過 肩 的 運 動 ， 附 著 在 關 節 唇 上 的 二 頭 肌 長 頭 肌 腱 會 不 斷 拉 扯 周 圍 組 織 ， 產 生 關 節 唇 的 損 傷。 Biceps long tendon 穿 進 關 節 囊 後 會 附 著 在 labrum 之 上 緣 ， 正 常 穩 定 時 是 一 個 很 好 的 固 定 點 ， 能 讓 投 手 投 出 快 速 球。 但 當 關 節 唇 損 傷 不 穩 定 時 ， 投 球 的 動 作 會 產 生 很 大 往 前 甩 動 的 力 量 ， 造 成 labrum 從 glenoid 上 鬆 弛 ， 使 得 動 作 不 穩 定 ， 也 會 產 生 疼 痛。 (B) (C) 旋 轉 肌 是 走 在 acromion 和 humerus 之 間 ， 中 間 的 bursa 是 在 骨 頭 其 他 軟 組 織 之間 的 緩 衝 組 織 ， 像 是 墊 片 ， 所 以 旋 轉 肌 斷 掉 的 症 狀 是 疼 痛、 活 動 受 限 ， 手 舉 不 起 來 或舉 起 來 沒 有 力 氣。 (D)MRI ： 針 對 軟 組 織 損 傷 的 檢 查 ， 例 如 ： 旋 轉 肌 損 傷","肩肘關節之骨科功能解剖學/骨科鑑別診斷 盧政昌"
"10","Dr. Lu, an orthopedic surgeon, experiences shoulder pain after performing arthroscopic surgery. What factors should be considered when performing a differential diagnosis of shoulder pain? a. X-ray examination b. Income c. Shoulder physical exam d. Age e. Occupation f. Shoulder anatomy g. History of injury","(A) a 、 c 、 d 、 e 、 f 、 g","(B) a 、 b 、 c 、 d 、 e 、 f","(C) a 、 c 、 d","(D) a 、 b 、 c 、 e 、 f","A","不 用 問 薪 水 💰 底 下 是 老 師 DD 的 thinking pathway 可 以 參 考 問 了 什 麼 考 量 了 什 麼 職 業 也 很 重 要 可 以 判 斷 可 能 造 成 受 傷 的 原 因","肩肘關節之骨科功能解剖學/骨科鑑別診斷 盧政昌"
