id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,"關於小腸出血的影像檢查,下列何者具有立即止血的優勢?",(A)Computed tomography angiography。,(B)Technetium-99m-labeled red blood cell scan。,(C)Meckel' s diverticulum scintigraphy。,(D)Deep enteroscopy。,D,"(A)(B)(C)選項可以判斷出血位置,但無法立即止血。而(D)選項屬於侵入式檢查可以抵達出血點,並可以立即透過內視鏡來止血。",小腸疾病的診斷與治療,王耀廣,"📖 chatGPT 學長背景知識  
小腸出血的影像檢查主要用於定位出血源，以便進行適當的治療。不同的檢查方法具有不同的優勢和適應症。

- 『Computed tomography angiography (CTA)』：能夠快速提供血管的影像，對於急性出血的定位有幫助，但不具備立即止血的能力。
- 『Technetium-99m-labeled red blood cell scan』：這是一種核醫學檢查，能夠檢測到慢性出血，但對於急性出血的即時處理效果有限。
- 『Meckel's diverticulum scintigraphy』：主要用於診斷梅克爾憩室，對於小腸出血的即時止血並無直接幫助。
- 『Deep enteroscopy』：這是一種內視鏡檢查，能夠直接觀察小腸內部，並在檢查過程中進行止血措施，如電燒或夾閉出血血管，具有『立即止血』的優勢。

綜合以上分析，選項D『Deep enteroscopy』是小腸出血影像檢查中，具備立即止血能力的最佳選擇。"
2,"關於小腸出血的處置,下列敘述何者為非?","(A)急性大量出血時,深部小腸鏡是第一優先的檢查方式。","(B)如果出血位置不明,建議從口側進行深部小腸鏡檢查。","(C)年輕人的小腸出血,應考量執行 Meckel's scan。","(D)針對電腦斷層血管攝影有發現出血的病人,可使用血管攝影的方式進行栓塞止血。",A,"急性大量出血(hemodynamically unstable 或持續性出血)的第一線應為「緊急影像檢查(CTA, CT angiography)或血管攝影」。",小腸疾病的診斷與治療,王耀廣,"📖 chatGPT 學長背景知識  
小腸出血的處置涉及多種檢查與治療方法，了解各種檢查的適應症與優先順序至關重要。

在急性大量出血的情況下，『深部小腸鏡』並非第一優先的檢查方式。通常，應首先進行『內視鏡檢查』或『影像學檢查』，如『電腦斷層掃描』，以快速評估出血來源。若出血位置不明，從口側進行深部小腸鏡檢查是合理的選擇，因為這樣可以更全面地檢查小腸的狀況。年輕患者的小腸出血，應考慮『Meckel's scan』，因為這是一種常見的先天性異常，可能導致出血。對於在『電腦斷層血管攝影』中發現出血的病人，進行『血管攝影』以進行栓塞止血是有效的治療方法。

綜合以上分析，選項(A)的敘述為非，因為急性大量出血時，深部小腸鏡並非首選檢查方式。"
3,下列敘述何者正確?,(A)Bile 中的 bilirubin 主要是人體內heme 代謝後的產物,(B)人體內的膽汁(bile juice)是由膽囊(Gallbladder)製造產生,(C)cholesterol gallstone 的形成主要是和膽道系統發生細菌感染有關,"(D)pregnancy 是膽石症相關的 risk factor,主要是因為懷孕過程中 progesterone 會增加 bile acid 的分泌以及膽囊收縮排空的能力",A,(A)正確。(B)膽汁由肝臟製造。(C) Brown pigment gallstone 形成主要是和細菌感染有關。(D) 懷孕中 progesterone 會減少膽囊收縮排空的能力造成膽汁鬱積。,膽結石及先天性膽道疾病,王森稔,"📖 chatGPT 學長背景知識

在本題中，我們需要分析四個選項，並找出正確的敘述。以下是各選項的核心觀念：

- (A)『膽紅素』是『血紅素』代謝的產物，主要在肝臟中形成，並隨『膽汁』排出體外。
- (B)『膽汁』的主要產生地是『肝臟』，而非『膽囊』，膽囊的功能是儲存和濃縮膽汁。
- (C)『膽固醇結石』的形成與『膽道系統』的細菌感染無直接關聯，主要是由於膽固醇過飽和及膽鹽不足。
- (D)雖然『懷孕』確實是膽石症的風險因子，但主要原因是『孕酮』影響膽囊的收縮能力，導致膽汁排空不完全，而非增加『膽酸』的分泌。

綜合以上分析，選項(A)是正確的，因為『膽紅素』確實是『血紅素』代謝後的產物，並且是膽汁的重要成分。其他選項均存在錯誤或不完整的描述，故不符合正確性。"
4,下列敘述何者正確?,"(A)Gallstone 所引起的 biliary colic 是指病人的上腹疼痛通常和進食有關,且常合併有後背痛或右肩疼痛的情形","(B)Charcot' s triad 描述 acute cholangitis 病人的常見症狀,包括:腹瀉、發燒及黃疸","(C)Gallstone ileus 常發生在老人家,其cholecystoenteric fistula 最常發生在 stomach","(D)Todani classification 描述 Choledochal cyst 的不同型態,其中type2臨床上最常見",A,(A)正確。(B)Charcot's triad症狀為：發燒、黃疸、腹痛(無腹瀉)。(C)fistula最常發生在duodenum。(D)以type Ia最為常見。,膽結石及先天性膽道疾病,王森稔,"📖 chatGPT 學長背景知識  
在消化系統疾病中，膽石症及其併發症是常見的臨床問題。了解相關症狀及分類對於診斷和治療至關重要。

- 『膽石症』引起的『膽絞痛』通常與進食有關，因為進食後膽囊收縮，可能導致膽石堵塞膽道，引發疼痛，並常伴隨『後背痛』或『右肩痛』。
- 『Charcot's triad』是急性膽管炎的經典症狀，包含『發燒』、、『黃疸』及『腹痛』，而非腹瀉。
- 『膽石性腸梗阻』多見於老年人，通常由『膽囊腸瘺』引起，最常見的部位是小腸，而非胃。
- 『Todani分類』用於描述『膽囊囊腫』的不同類型，其中『type I』是最常見的型態，而非type II。

綜合以上資訊，正確的選項為(A)，因為它準確描述了膽石症引起的膽絞痛的特徵及相關症狀。"
5,"下列那一種胰臟腫瘤,初診斷時建議可先觀察不用考慮評估接受手術切除治療?",(A)Pancreatic neuroendocrine tumor,(B)Solid pseudopapillary neoplasms,(C)Main-duct Intraductal papillary mucinous neoplasms (IPMNs),(D)Serous cystadenomas,D,Serous cystadenomas 幾乎都是良性(almost always benign)，除非長得太大或造成症狀，否則通常建議影像追蹤觀察即可。,胰臟腫瘤及傷害,王森稔,"📖 chatGPT 學長背景知識

在胰臟腫瘤的診斷與治療中，不同類型的腫瘤有不同的管理策略。以下是幾種胰臟腫瘤的特點：

- 『胰腺神經內分泌腫瘤』(Pancreatic neuroendocrine tumor) 通常具有潛在的惡性，需考慮手術切除。
- 『實性偽乳頭狀腫瘤』(Solid pseudopapillary neoplasms) 雖然相對良性，但仍建議手術切除以防止潛在惡化。
- 『主導管內乳頭狀黏液性腫瘤』(Main-duct IPMNs) 具有較高的惡性潛力，通常需要手術評估。
- 『漿液性囊腫腫瘤』(Serous cystadenomas) 通常為良性，且生長緩慢，初診斷時可選擇觀察，因其惡性轉化的風險極低。

綜合以上資訊，選擇(D)『漿液性囊腫腫瘤』為正確答案，因為其良性特性使得在初診斷時可不急於手術切除，而是可進行定期觀察。這種腫瘤的臨床管理通常不需要立即介入，除非出現症狀或其他併發症。"
6,有關胰漏(Postoperative pancreatic fistula; POPF)下列敘述何者錯誤?,(A)常發生在胰臟手術之後,"(B)Whipple procedure 後若發生POPF,其衍生出的出血常是因為 gastro-duodenal artery(GDA)發生 pseudoaneurysm 破裂所致,死亡率極高",(C)相關的危險因子包括胰臟組織過軟以及胰管過細等,(D)發生胰漏的病人建議立即接受手術處理,D,發生胰漏合併感染性積液(infected fluid collection)時，診斷後通常首選影像引導的經皮導管引流術(percutaneous drainage)來處理，而非立即手術。,胰臟腫瘤及傷害,王森稔,"📖 chatGPT 學長背景知識  
胰漏（Postoperative pancreatic fistula; POPF）是胰臟手術後常見的併發症，主要由於胰臟組織的『軟』或『細』導致的縫合不良。其發生率與手術類型、病人基礎狀況及術後管理密切相關。

- POPF 通常發生在胰臟手術後，特別是『Whipple procedure』等高風險手術。
- 若在 Whipple procedure 後發生 POPF，可能導致『pseudoaneurysm』破裂，進而引發嚴重出血，死亡率高。
- 相關危險因子包括『胰臟組織過軟』、胰管『過細』、術前營養狀況不佳等。

對於發生胰漏的病人，雖然有時需要手術處理，但大多數情況下，初期應以『保守治療』為主，包括引流、營養支持及觀察，避免立即手術。因此，選項 D 的建議並不正確，因為並非所有胰漏病人都需立即手術處理。"
7,"一位56歲女性,無特殊病史或手術史,僅有長期便秘使用藥物,但昨天無排便。昨晚因腹漲,上腹悶痛及噁心至急診就診,經藥物治療後返家,但半夜開始有發燒的情形,中午再度來到急診,且疼痛位置變成了右下腹部。急診醫師請你協助執行腹部理學檢查,並說了一句她疼痛位置的改變很像是 Aaron's sign。請問你執行腹部理學檢查時,下列哪些是與急診醫師推測的診斷是相關的? 1.檢查 McBurney's point 2.Murphy's sign 3.Psoas sign 4.Rovsing's sign 5.Right side flank knocking pain.",(A) 123,(B) 134,(C) 245,(D) 1234,B,急診醫師懷疑為急性闌尾炎。McBurney's point、Psoas sign、Rovsing's sign及Aaron's sign皆為闌尾炎徵象。Murphy's sign為膽囊炎徵象，Flank knocking pain為腎盂腎炎徵象。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,"📖 chatGPT 學長背景知識  
本題涉及急性闌尾炎的診斷，特別是患者的症狀與腹部檢查的相關性。

核心觀念：  
- 患者為56歲女性，長期『便秘』，出現『腹漲』、『上腹悶痛』及『噁心』，隨後轉為『右下腹部』疼痛，符合急性闌尾炎的典型表現。  
- 『Aaron's sign』指的是右下腹部疼痛隨著腹部壓力變化而加重，常見於急性闌尾炎。  
- 檢查『McBurney's point』（右下腹部特定區域）是評估急性闌尾炎的重要方法。  
- 『Rovsing's sign』是指左側腹部壓痛引起右側腹部疼痛，亦支持闌尾炎的診斷。  
- 『Psoas sign』可檢查闌尾炎合併的腸道刺激。  

選項中，『Murphy's sign』主要用於膽囊炎，『Right side flank knocking pain』則不特異於闌尾炎。因此，與急診醫師推測的診斷相關的檢查為『McBurney's point』、 『Psoas sign』及『Rovsing's sign』，故正確答案為(B) 134。"
8,"一位75歲有中風病史的男性因腹痛,腹漲及噁心,在媳婦陪伴下就診,當徵得病患同意進行腹部 理學檢查時,以下的敘述哪些較不適當? 1.請患者平躺,掀開衣服以露出腹部,雙手置於胸前,雙膝彎曲踩在床上 2.理學檢查的步驟以視(inspection)聽(auscultation),叩(percussion )觸(palpation)依序進行。3.進行觸診時,從最疼痛的地方開始 4.為避免醫療糾紛,請女性護理師不要陪同。",(A) 12,(B) 34,(C) 13,(D) 4,B,3.觸診必須由「最不痛」的地方開始。4.進行身體檢查時需有女性護理人員陪同。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,"📖 chatGPT 學長背景知識

在進行腹部理學檢查時，需遵循一定的步驟與原則，以確保檢查的準確性與病人的舒適度。以下是對題目中各選項的分析：

1. **病人姿勢**：選項1中，病人應平躺，雙手置於胸前是合適的，但雙膝彎曲踩在床上並不常見，可能影響檢查的準確性。

2. **檢查步驟**：選項2的檢查順序『視』、聽、叩、觸是正確的，符合醫學標準。

3. **觸診順序**：選項3提到從最疼痛的地方開始觸診，這通常不建議，因為可能會引起病人不適，應從無痛區域開始。

4. **陪伴人員**：選項4中，要求女性護理師不要陪同的做法不僅不必要，還可能違反病人的權益與尊嚴，且無法有效避免醫療糾紛。

綜合以上分析，選項1和選項3的做法不當，選項4的要求也不合理，因此正確答案為(B) 34。"
9,"續上題,當衣服掀開時,主治醫師懷疑有肝硬化的可能性,請問,主治醫師發現了什麼? 1.肚臍有結節(Sister Mary Joseph's nodule) 2.胸部皮膚有數個蜘蛛痣(Spider angioma) 3.肚臍出現腫脹的血管,像蛇女頭(Caput medusae) 4.兩側腰部瘀青(Grey-Turner's sign)",(A) 1234,(B) 123,(C) 14,(D) 23,D,蜘蛛痣(>3個)與蛇女頭肚臍靜脈曲張為肝硬化/門脈高壓典型外觀。Sister Mary Joseph's nodule代表腹內癌症轉移(如胰臟癌)；Grey-Turner's sign代表後腹腔出血。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,"📖 chatGPT 學長背景知識  
肝硬化是一種由多種原因引起的肝臟慢性損傷，導致肝組織纖維化及功能喪失。臨床上，肝硬化的體徵可包括多種皮膚變化和腹部血管異常。

- 『蜘蛛痣』(Spider angioma)：常見於肝硬化患者，因為肝臟無法有效代謝雌激素，導致皮膚血管擴張。
- 『Caput medusae』：指腹部表面出現腫脹的血管，通常是由於門靜脈高壓引起的，這是肝硬化的典型表現。
- 『Sister Mary Joseph's nodule』：雖然與肝病相關，但通常是腹部腫瘤的轉移表現，並非肝硬化的直接指標。
- 『Grey-Turner's sign』：指腰部出現瘀青，通常與急性胰腺炎或腹部出血相關，並不特異於肝硬化。

綜合以上，肝硬化的典型體徵包括『蜘蛛痣』和『Caput medusae』，因此正確答案為選項 (D) 23。"
10,"在腹部理學檢查過程中,病患有嘔吐情形,主治醫師請你協助放置鼻胃管以避免病患持續嘔吐而嗆到。放置鼻胃管相關細節,下列何者錯誤?",(A)將床頭抬高30~60度。,"(B)測量鼻孔到耳根的距離加上耳根到劍突末端的距離,作為鼻胃管放入長度的參考。","(C)鼻胃管前端朝下,管子的彎度順著鼻孔的底部慢慢插入,到達鼻咽時可請病人同時做吞嚥動作。","(D)確定鼻胃管位置是否正確時,用灌食空針打入白開水,評估是否有阻力或病人是否有咳嗽情形。",D,確認鼻胃管位置正確的方法應為回抽看是否有胃內容物，或打入少量空氣同時用聽診器在胃部聽是否有氣泡音。絕對不能直接灌水。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,"📖 chatGPT 學長背景知識  
在放置鼻胃管的過程中，正確的操作步驟與技巧至關重要，以確保病人的安全與舒適。以下是相關的核心觀念：

- **病人姿勢**：將床頭抬高『30~60度』有助於減少誤吸風險，並促進鼻胃管的順利放置。
- **測量長度**：正確測量鼻孔到耳根，再加上耳根到『劍突末端』的距離，是確保鼻胃管放置深度的關鍵。
- **插入技巧**：鼻胃管應以『前端朝下』的方式插入，並在到達鼻咽時，請病人做『吞嚥動作』以協助通過。
- **確認位置**：確認鼻胃管位置的正確性時，應使用『灌食空針』打入白開水，若有阻力或病人出現『咳嗽』情形，則可能表示管子位置不正確。

綜合以上觀念，選項D的描述不正確，因為確認鼻胃管位置的標準方法應包括抽取胃內容物或使用X光檢查，而不僅僅是灌食空針。這樣的做法可能會導致誤判或危險情況的發生。"
