id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
114-1-1,下列何者含有耳蝸神經核（cochlear nucleus）傳遞到下丘（inferior colliculus）的神經纖維？,內側蹄系（medial lemniscus）,脊髓蹄系（spinal lemniscus）,外側蹄系（lateral lemniscus）,三叉蹄系（trigeminal lemniscus）,C,,解剖學,
114-1-2,病人脊髓受損導致受傷部位以下肢體無力，溫痛覺喪失，但本體感覺與震動覺保留，下列何處最不可能受損？,後索（posterior funiculus）,前索（anterior funiculus）,側索（lateral funiculus）,前角（anterior horn）,A,,解剖學,
114-1-3,關於前脈絡叢動脈（anterior choroidal artery）之敘述，下列何者錯誤？,可供給側腦室（lateral ventricle）之脈絡叢（choroid plexus）,可供給內囊後支（posterior limb of internal capsule）,多數人的前脈絡叢動脈，由內頸動脈（internal carotid artery）分支出,基底核（basal ganglion）的殼核（putamen），主要由前脈絡叢動脈供給,D,,解剖學,
114-1-4,下列有關巴金森氏病（Parkinson's disease）之敘述，何者錯誤？,病變部位主要在黑質網狀區（substantia nigra pars reticulata）,與 dopamine 分泌不足有關,為一種神經退化性疾病,可同時影響基底核迴路中的direct loop 與indirect loop,A,,解剖學,
114-1-5,下列何者最不可能直接參與眼睛看近物時的調適反應（accommodation-convergence reaction）？,雙眼內直肌（medial rectus）,動眼神經（oculomotor nerve）,額葉眼區（frontal eye field）,睫狀肌（ciliary muscle）,C,,解剖學,
114-1-6,下列何者負責供應內耳血液？,副腦膜動脈（accessory meningeal artery）,後腦膜動脈（posterior meningeal artery）,迷路動脈（labyrinthine artery）,咽升動脈（ascending pharyngeal artery）,C,,解剖學,
114-1-7,下列何者並不同時參與外聽道（external acoustic meatus）與鼓膜（tympanic membrane）之一般感覺？,三叉神經（trigeminal nerve）,顏面神經（facial nerve）,舌咽神經（glossopharyngeal nerve）,迷走神經（vagus nerve）,C,,解剖學,
114-1-8,下列何者隔開耳蝸管（cochlear duct/scala media）與鼓室階（scala tympani）？,前庭膜（vestibular membrane）,基底膜（basilar membrane）,鼓膜（tympanic membrane）,螺旋韌帶（spiral ligament）,B,,解剖學,
114-1-9,下列何者並不以共同腱環（common tendinous ring）為起點？,上直肌（superior rectus）,下直肌（inferior rectus）,外直肌（lateral rectus）,下斜肌（inferior oblique）,D,,解剖學,
114-1-10,下列何者與鐙骨肌（stapedius muscle）有相同的神經支配？,鼓膜張肌（tensor tympani muscle）,眼輪匝肌（orbicularis oculi muscle）,腭帆提肌（levator veli palatini muscle）,腭帆張肌（tensor veli palatini muscle）,B,,解剖學,
114-1-11,前囟門（anterior fontanelle）處的頭皮（scalp）主要血液供應來自：,眶上動脈（supraorbital artery）,升咽動脈（ascending pharyngeal artery）,耳後動脈（posterior auricular artery）,枕動脈（occipital artery）,A,,解剖學,
114-1-12,擠壓鼻尖產生的痛覺，其感覺訊息透過下列何者傳遞？,眼神經分支（branches of ophthalmic nerve）,上頷神經分支（branches of maxillary nerve）,下頷神經分支（branches of mandibular nerve）,顏面神經分支（branches of facial nerve）,A,,解剖學,
114-1-13,下列腦神經與其所關聯的副交感神經節的配對，何者正確？,第三對腦神經（CN III）；耳神經節（otic ganglion）,第七對腦神經（CN VII）；翼腭神經節（pterygopalatine ganglion）,第九對腦神經（CN IX）；睫狀神經節（ciliary ganglion）,第十對腦神經（CN X）；下頷下神經節（submandibular ganglion）,B,,解剖學,
114-1-14,下列何處，有最發達的心臟梳狀肌（pectinate muscle）？,左心房後半部,右心房前半部,左心室前半部,右心室後半部,B,,解剖學,
114-1-15,若病人的主動脈弓（aortic arch）發生動脈瘤（aneurysm），造成聲音沙啞，最可能是因為下列那一條神經功能間接受損？,右側迷走神經（right vagus nerve）,右側交感神經幹（right sympathetic trunk）,左側交感神經幹（left sympathetic trunk）,左側喉返神經（left recurrent laryngeal nerve）,D,,解剖學,
114-1-16,若病人在縱隔部分（mediastinal part）的胸膜（pleura）發炎，其轉位痛最容易出現在下列何處？,頸部外側與鎖骨上方處,前胸第四肋間附近,手臂內側靠近腋下處,背部肩胛骨下方,A,,解剖學,
114-1-17,有關氣管之敘述，下列何者錯誤？,氣管通常在胸骨角（sternal angle）水平面，分支為左、右主支氣管,右支氣管通常比左支氣管寬且較為垂直（vertical）,正常之左、右支氣管夾角約在150 度,除氣管隆突（carina）之外，氣管的軟骨全為C 型軟骨,C,,解剖學,
114-1-18,下列何者是腹膜內器官（intraperitoneal organ）？,胰臟（pancreas）,腎臟（kidney）,十二指腸（duodenum）,迴腸（ileum）,D,,解剖學,
114-1-19,進行闌尾（appendix）去除手術前，可藉由下列何種結構快速找到闌尾？,腸脂垂（omental appendices）,右結腸動脈（right colic artery）,盲腸上的結腸帶（taenia coli of cecum）,迴結腸動脈（ileocolic artery）,C,,解剖學,
114-1-20,下列何結構上有腹股溝淺環（superifical inguinal ring）的開口？,腹外斜肌腱膜（aponeurosis of external oblique muscle）,腹直肌腱膜（aponeurosis of rectus abdominis）,腹內斜肌腱膜（aponeurosis of internal oblique muscle）,腹橫肌腱膜（aponeurosis of transversus abdominis）,A,,解剖學,
114-1-21,下列何者不是腹腔幹（celiac trunk）的一級分支？,總肝動脈（common hepatic artery）,左胃動脈（left gastric artery）,胃十二指腸動脈（gastroduodenal artery）,脾動脈（splenic artery）,C,,解剖學,
114-1-22,關於子宮動脈（uterine artery），下列敘述何者錯誤？,子宮動脈是髂內動脈（internal iliac artery）的分支,子宮動脈有一段會直接跨在輸尿管（ureter）的上方,子宮動脈的主幹會先進入子宮底（fundus），之後再發出分支供應子宮頸（cervix）,子宮動脈會與卵巢動脈吻合（anastomosis）,C,,解剖學,
114-1-23,下列何者附著於恥骨聯合（pubic symphysis）？,陰莖懸韌帶（suspensory ligament of penis）,陰莖襻狀韌帶（fundiform ligament of penis）,會陰體（perineal body）,會陰淺橫肌（superficial transverse perineal muscle）,A,,解剖學,
114-1-24,下列何者不是薦神經叢（sacral plexus）的分支？,臀上神經（superior gluteal nerve）,閉孔內肌神經（nerve to obturator internus）,陰部神經（pudendal nerve）,閉孔神經（obturator nerve）,D,,解剖學,
114-1-25,下列何構造開口於海綿體尿道（spongy urethra）？,前列腺（prostate gland）,精囊（seminal vesicle）,射精管（ejaculatory duct）,尿道球腺（bulbourethral gland）,D,,解剖學,
114-1-26,下列那一條肌肉的支配神經與其他選項完全不同？,背闊肌（latissimus dorsi）,大菱形肌（rhomboid major）,小菱形肌（rhomboid minor）,提肩胛肌（levator scapulae）,A,,解剖學,
114-1-27,下列那一神經受損，食指的外展、內收作用（abduct and adduct index）都會出現障礙？,腋神經（axillary nerve）,橈神經（radial nerve）,尺神經（ulnar nerve）,正中神經（median nerve）,C,,解剖學,
114-1-28,下列何者夾在內踝（medial malleolus）與外踝（lateral malleolus）之間？,跟骨（calcaneus）,距骨（talus）,舟狀骨（navicular）,骰骨（cuboid）,B,,解剖學,
114-1-29,下列何肌肉肌腱不構成鵝足（pes anserinus）？,股薄肌（gracilis）,縫匠肌（sartorius）,半腱肌（semitendinosus）,內收長肌（adductor longus）,D,,解剖學,
114-1-30,正常情形下，臂神經叢（brachial plexus）的那一部分會包圍住腋動脈的第二段（second part of axillary artery）？,神經根（roots）,神經幹（trunks）,神經分部（divisions）,神經索（cords）,D,,解剖學,
