id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai-explanation
1,下列選項關於腸道 Intraepithelial lymphocytes (IELs)的敘述，何者錯誤？,IELs 都是 CD8陽性T細胞,"IELs 表現 NKG2D 受器與 MIC-A, B交互作用，進而激活IELs 細胞",IELs 毒殺受壓力細胞(Stresses cells)是經由 perforin/granzyme 途徑,IELs 大部分都是樹突細胞(Dendritic cells),D,,消化系統免疫學 林明宏,11111
2,下列選項關於腸道微生物相(Gut Microbiota)的敘述，何者錯誤？,"促進腸上皮細胞(Gut epithelial cells)分泌細胞激素 IL-25, IL-33, TSLP, 和 RA",抑制發炎 TH17 輔助型 T 細胞(helper T cells)分化,微生物菌群代謝物 Butyrate 可促進調節性 T 細胞(Regulatory T cells),微生物菌群 Flagellin 可促進 IgA 製造,B,,消化系統免疫學 林明宏,
3,幽門成型術(pyloroplasty)，常會伴隨著下列何種術式？,迷走神經幹切斷術(truncal vagotomy),高選擇性迷走神經切斷術(highly selective vagotomy),胃竇切除術(antrectomy),次全胃切除術(subtotal gastrectomy),A,,消化道臨床解剖學 莊樹宏,
4,術中膽道攝影(intraoperative cholangiography)，常以切開哪一個構造來施行？,膽囊(gallbladder),膽囊管(cystic duct),總肝管(common hepatic duct),總膽管(common bile duct),B,,消化道臨床解剖學 莊樹宏,
5,肝臟的解剖切除(anatomical liver resection)，需要緊貼以下何種構造來執行？,肝內膽管(intrahepatic bile duct),肝動脈(hepatic artery),門靜脈(portal vein),肝靜脈(hepatic vein),D,,消化道臨床解剖學 莊樹宏,
6,有關胰頭十二指腸切除手術(pancreatoduodenectomy)的適應症，以下何者為非？,十二指腸第二部癌(duodenal second portion cancer),乏特氏壺腹腫瘤(ampulla of Vater tumor),肝門部膽管癌(hilar cholangiocarcinoma),胰頭癌(pancreatic head cancer),C,,消化道臨床解剖學 莊樹宏,
7,有關排便反射及神經調控，下列何者錯誤？,直腸壁伸張可觸發排便反射並刺激內肛括約肌舒張,外肛括約肌為骨骼肌，可隨意收縮控制排便時機,排便完全依賴隨意神經活動，與反射無關,排便反射可受中樞神經調節強弱,C,,消化系統生理學 黃烱瑋,
8,下列關於肝臟在代謝及分泌功能的敘述，何者錯誤？,肝臟可合成血漿蛋白如白蛋白和多種凝血因子,肝臟將膽固醇轉化為膽鹽，參與脂肪消化,肝臟僅參與膽紅素的生成，無法分解老化紅血球,肝臟可將有害物質進行生物轉化成較無毒物質,C,,消化系統生理學 黃烱瑋,
9,關於消化道分泌調控之神經傳遞物質，下列何者錯誤？,ENS 興奮時釋放 ACh促進平滑肌收縮,VIP、NO為ENS 抑制性神經傳遞物質,副交感神經刺激時主要釋放去甲腎上腺素,腸神經叢可釋放P物質以促進腸肌活動,C,,消化系統生理學 黃烱瑋,
10,關於膽囊及膽汁分泌調節機制，下列何者錯誤？,膽囊收縮需 CCK刺激及副交感神經參與,Oddi 括約肌收縮會促進膽汁進入小腸,CCK 可促進胰液與膽汁流入十二指腸,高脂飲食可刺激膽囊收縮反射。,B,,消化系統生理學 黃烱瑋,
11,關於小腸運動型態與其生理意義，下列何者錯誤？,分節運動有助於食物混合並促進養分吸收。,蠕動為推動食糜向遠端移動的主要運動型態。,MMC 主要於空腹時發生，有清除殘渣功能。,MMC 在進食後比空腹更為活躍,D,,消化系統生理學 黃烱瑋,
12,下列有關腸上皮吸收機制，何者錯誤？,葡萄糖吸收需與鈉離子協同運輸進入腸上皮細胞,長鏈脂肪酸需在細胞內重組成乳糜微粒後進入淋巴循環,鐵主要於空腸經 Na+-bile acid transporter 主動吸收,短鏈脂肪酸可直接進入門脈循環。,C,,消化系統生理學 黃烱瑋,
13,有關消化道激素及其作用，下列何者錯誤？,Secretin 促使胰臟釋放碳酸氫根以中和胃酸,Gastrin 可促進胃酸與胃蛋白酶釋放，且增強胃黏膜增生,CCK 刺激胰液消化酶及膽囊收縮，並可促進 Oddi 括約肌收縮,Ghrelin分泌與食慾調節相關，分泌高峰常於進食前。,C,,消化系統生理學 黃烱瑋,
14,有關胃腺細胞分泌及功能，下列何者錯誤？,壁細胞可分泌HCI及內因子，有助維生素B12吸收,G 細胞分泌體抑素以抑制胃酸釋放。,主細胞分泌胃蛋白酶原，經酸性環境活化。,類腸嗜鉻細胞(ECL cell)可釋放組織胺，促進胃酸分泌,B,,消化系統生理學 黃烱瑋,
