id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,下列關於胃癌的敍述何者為是?,"胃間質瘤(GIST)屬於 non-epithelial origin, 內視鏡下常以黏膜下腫瘤表現",胃淋巴癌 (lymphoma) 是二常見的惡性胃腫瘤,diffuse type 胃腺癌(adenocarcinoma)與遺傳較無關,"intestinal type 胃腺癌好發在胃的近端, diffuse type 則多在遠端",B,"(1) 對 (2) 對 (3) diffuse type 胃腺癌(adenocarcinoma)與遺傳有關 (4) intestinal type 胃腺癌好發在胃的遠端, diffuse type 則多在近端 答案應為(A)，等申覆",胃腫瘤 吳宜珍,胃癌的類型主要包括腺癌、淋巴癌及間質瘤等。根據題目，選項中提到的胃間質瘤(GIST)確實屬於非上皮來源，並且在內視鏡下常以黏膜下腫瘤的形式表現。胃淋巴癌是第二常見的惡性胃腫瘤，這一點也是正確的。至於diffuse type胃腺癌與遺傳的關聯，研究顯示此類型的腺癌與遺傳有關，因此選項三是錯誤的。最後，intestinal type胃腺癌通常好發於胃的遠端，而diffuse type則多見於近端，這一點也被確認。因此，正確的選項是B，包含了正確的敘述(1)和(2)。
2,關於胃腺癌(adenocarcinoma)的症狀和治療何者不正確?,"免疫療法在轉移性胃癌的療效顯著,近年的研究己證實可作為一線治療",晚期胃癌可能出現 Sister Mary Joseph nodes,早期胃癌引起的胃痛比其他胃部疾病如潰瘍、消化不良等嚴重,台灣及日本等國胃癌的標準術式是胃切除併 D2 淋巴結摘除,C,(C)胃癌起初的症狀和其他胃部疾病如潰瘍、消化不良等不易區分 (A)胃腺癌第一線治療為以5-FU為主的化療或搭配標靶藥物，免疫療法並非第一線治療方式,胃腫瘤 吳宜珍,胃腺癌的症狀通常在早期不明顯，與其他胃部疾病如潰瘍或消化不良的症狀相似，因此早期胃癌引起的胃痛不一定比其他疾病更為嚴重。選項C的描述不正確，因為早期胃癌的症狀往往難以區分，且不會特別嚴重。免疫療法在轉移性胃癌的研究中顯示出潛力，但並非所有情況下都是一線治療，通常以化療為主。選項B和D的描述均為正確，符合臨床實踐。因此，正確答案為C。
3,下列選項關於腸道 Intraepithelial lymphocytes (IELs)的敘述，何者正確?,IELs 都是 CD4 陽性T 細胞,IELs 都是 CD8 陽性T 細胞,IELs 都是巨噬細胞(Macrophages),IELs 都是樹突細胞(Dendritic cells),B,,消化系統免疫學 林明宏,"腸道內的上皮淋巴細胞（Intraepithelial lymphocytes, IELs）主要是CD8陽性T細胞，這些細胞在腸道的免疫監視中扮演重要角色。IELs能夠識別和消除腸道內的病原體，並且在維持腸道的免疫平衡中發揮關鍵作用。雖然腸道中也存在CD4陽性T細胞，但IELs的主要組成是CD8陽性T細胞，因此選項B是正確的。選項A、C和D均不正確，因為IELs並不僅限於CD4陽性T細胞、巨噬細胞或樹突細胞。"
4,下列選項關於腸道微生物相(Gut Microbiota)的敘述，何者錯誤?,促進腸上皮細胞(Gut epithelial cells)分泌細胞激素(Cytokines),促進 TH17 輔助型T 細胞(helper T cells),抑制調節性T 細胞(Regulatory T cells),促進 IgA 製造,C,(C) 增加調節性T 細胞(Regulatory T cells)數量,消化系統免疫學 林明宏,腸道微生物群在維持腸道健康和免疫系統的功能中扮演著重要角色。它們能夠促進腸上皮細胞分泌細胞激素，並且促進TH17輔助型T細胞的發展，這些都是正確的描述。選項C的說法是錯誤的，因為腸道微生物群實際上是能夠促進調節性T細胞的數量，這對於免疫系統的調節至關重要。調節性T細胞有助於防止過度的免疫反應，從而維持腸道的免疫平衡。因此，正確答案為C。
5,接受胃切除手術後，以 Billroth II吻合進行胃腸道重建可能會發生以下缺點，何者為非？,膽汁逆流 (biliary reflux),傾食症候群 (dumping syndrome),盲端症候群 (sump syndrome),腹腔內疝氣 (internal herniation),C,"根據老師上課講義Billroth II 的併發症會有biliary reflux, dumping syndrome而sump symdrome 主要發生於side-to-side choledochoduodenostomy (CDD)",胃腫瘤及消化性潰瘍的外科治療 張琮琨,Billroth II手術是一種胃切除後的重建方式，常見的併發症包括膽汁逆流和傾食症候群。膽汁逆流是由於膽汁進入腸道的方式改變而引起的，而傾食症候群則是因為食物快速進入小腸所導致的症狀。選項C提到的盲端症候群主要發生於側對側的膽胰吻合術，而不是Billroth II手術，因此這一選項是錯誤的。腹腔內疝氣雖然也是一種可能的併發症，但並不是Billroth II手術的特有問題。因此，正確答案為C。
6,腹腔鏡膽囊切除術 (laparoscopic cholecystectomy) 相較於傳統開腹膽囊切除術 (open cholecystectomy)，何者為非？,手術時間較長,病人恢復較快,術後腹部傷疤較不明顯,較少發生膽道損傷等併發症,D,(D)腹腔鏡「不會」相較傳統手術有更少併發症發生,消化道臨床解剖學 莊樹宏,腹腔鏡膽囊切除術相較於傳統開腹手術，雖然在手術時間上可能會稍長，但其優勢在於病人恢復較快、術後傷疤較不明顯以及較少的疼痛感。選項D提到的「較少發生膽道損傷等併發症」並不正確，因為腹腔鏡手術在某些情況下可能會增加膽道損傷的風險。因此，正確答案為D，這反映了對於手術風險的誤解。
7,擴大右肝切除術 (extended right hepatectomy)，切除的部分不包括以下何者？,第三肝節 (hepatic segment 3),第四肝節 (hepatic segment 4),第五肝節 (hepatic segment 5),第六肝節 (hepatic segment 6),A,右邊列表可以查到Extended Rt切掉的部分是S4-8。但其實依解剖位置來看，第四到第八部分都被有組成右肝的一部分，因此只能選(A)第三部分。,消化道臨床解剖學 莊樹宏,擴大右肝切除術主要是針對右肝的切除，通常包括肝段4到肝段8。根據解剖學，肝段3並不屬於右肝的範疇，因此在此手術中不會切除肝段3。這使得選項A成為正確答案，因為它是唯一不包括在切除範圍內的肝段。
8,"施行胰頭十二指腸切除術 (pancreatoduodenectomy, Whipple procedure)，需要切斷以下的構造，何者除外？",胃十二脂腸動脈 (gastroduodenal artery),下胰十二指腸動脈 (inferior pancreaticoduodenal artery),右胃動脈 (right gastric artery),左胃動脈 (left gastric artery),D,"根據講義，施行胰頭十二指腸切除術 (pancreatoduodenectomy, Whipple procedure)，需要切斷gastroduodenal artery和inferior pancreaticoduodenal artery。",消化道臨床解剖學 莊樹宏,在胰頭十二指腸切除術中，主要需要切斷的血管包括胃十二脂腸動脈和下胰十二指腸動脈，以確保手術的順利進行。相對而言，左胃動脈並不需要切斷，因此選項D是正確答案。這一點在手術的解剖學中是非常重要的，因為保留左胃動脈有助於維持胃的血供。
9,下列何者不是胃腺(gastric gland)的細胞？,主細胞(chief cell),吸收細胞(absorptive cell),壁細胞(parietal cell),腸道內分泌細胞(intestinal endocrine cell),B,,消化系統生理學(II)：肝、膽、胰,胃腺主要由主細胞、壁細胞和其他特定細胞組成，這些細胞各自負責不同的功能，如分泌胃酸和消化酶。吸收細胞並不是胃腺的一部分，而是主要存在於小腸中，負責吸收營養物質。因此，選項B是正確答案，因為它不屬於胃腺的細胞類型。
10,食物入胃前，食物對嗅覺、視覺及味覺的刺激可促使胃腺的分泌，這是屬於消化液分泌控制的哪一階段？,頭期​,胃期​,腸期​,消化期,A,胃酸分泌分為三期，其中頭期是由視、嗅、味覺誘發胃酸分泌，和迷走神經有關，本題正確答案為A,消化系統生理學(II)：肝、膽、胰,消化液的分泌控制可以分為三個階段：頭期、胃期和腸期。頭期是指在食物進入胃之前，透過視覺、嗅覺和味覺的刺激，促使胃腺開始分泌胃酸和消化酶。這一過程主要受到迷走神經的調控，因此選項A是正確答案，反映了神經系統在消化過程中的重要作用。
