id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,雙眼向右看時，右眼的外直肌收縮，同時左眼的內直肌收縮。腦幹內負責啟動兩眼協調進行外側注視的神經核，主要是下列何者？,動眼神經核（oculomotor nucleus）,外旋神經核（abducens nucleus）,中線旁橋腦網狀結構（paramedian pontine reticular formation）,E-W神經核（Edinger-Westphal nucleus）,C,,解剖學,在雙眼協調運動中，外側注視的神經核主要是中線旁橋腦網狀結構（paramedian pontine reticular formation），它負責協調兩眼的運動，使其能夠同步向同一方向移動。
2,下列基底核（basal ganglia）的構造中，何者的神經組織相似，都屬於紋狀體（striatum）？,尾核（caudate nucleus）與殼核（putamen）,尾核（caudate nucleus）與蒼白球（globus pallidus）,殼核（putamen）與蒼白球（globus pallidus）,豆狀核（lentiform nucleus）與蒼白球（globus pallidus）,A,,解剖學,尾核（caudate nucleus）和殼核（putamen）都是屬於紋狀體（striatum）的結構，這兩者在功能上有密切的關聯，並共同參與運動控制及行為調節。
3,小腦傳出的神經纖維經丘腦（thalamus）後主要傳遞至下列何處的大腦皮質（cerebral cortex）？,主要運動區（primary motor area）,扣帶運動區（cingulate motor area）,運動輔助區（supplementary motor area）,運動前區（premotor area）,A,,解剖學,小腦的神經纖維經丘腦後主要傳遞至主要運動區（primary motor area），這是因為小腦在運動協調和精細運動控制中扮演重要角色，並且其輸出主要影響運動的執行。
4,下列何者由杏仁核（amygdala）發出，傳遞至下丘腦（hypothalamus）？,終紋（stria terminalis）,穹窿（fornix）,內側前腦束（medial forebrain bundle）,內側縱束（medial longitudinal fasciculus）,A,,解剖學,終紋（stria terminalis）是杏仁核（amygdala）向下丘腦（hypothalamus）傳遞信息的主要通路，這條通路在情緒調節和生理反應中扮演重要角色。
5,有關丘腦（thalamus）功能之敘述，下列何者錯誤？,外膝狀體（lateral geniculate body）與視覺有關,前核（anterior nucleus）與嗅覺有關,腹外側核（ventrolateral nucleus）與錐體外運動系統（extrapyramidal system）有關,腹後外側核（ventral posterolateral nucleus）與體感覺有關,B,,解剖學,前核（anterior nucleus）主要與記憶和情緒有關，而不是直接與嗅覺有關，因此選項B的敘述是錯誤的。
6,後下小腦動脈（posterior inferior cerebellar artery）阻塞，可產生外側延腦症候群（lateral medullary syndrome），下列何者最不可能出現？,小腦功能異常,對側肢體溫度感覺異常,吞嚥困難,對側肢體無力,A,,解剖學,外側延腦症候群主要影響的是對側肢體的感覺和運動功能，而小腦功能異常通常不會直接由後下小腦動脈的阻塞引起，因此選項A最不可能出現。
7,下列何者不出現在中耳（middle ear）？,鼓索神經（chorda tympani nerve）,內頸動脈（internal carotid artery）,鐙骨肌（stapedius muscle）,岩小神經（lesser petrosal nerve）,B,,解剖學,內頸動脈（internal carotid artery）並不位於中耳內，而是位於頸部，這使得選項B是正確的答案。
8,下列那一條眼外肌與眼球向外看的動作最不相關？,外直肌（lateral rectus）,上斜肌（superior oblique）,下斜肌（inferior oblique）,上直肌（superior rectus）,B,,解剖學,上斜肌（superior oblique）主要負責眼球的內旋和向下運動，因此與眼球向外看的動作最不相關。
9,視神經管（optic canal）與下列何者相通？,翼腭窩（pterygopalatine fossa）,中顱窩（middle cranial fossa）,顳下窩（infratemporal fossa）,顳窩（temporal fossa）,B,,解剖學,視神經管（optic canal）主要與中顱窩（middle cranial fossa）相通，這是視神經和眼動脈通過的通道。
10,通過下列何者的血管與其所通過的孔洞名稱不同？,棘孔（foramen spinosum）,眶下孔（infraorbital foramen）,腭大孔（greater palatine foramen）,前篩孔（anterior ethmoidal foramen）,B,,解剖學,眶下孔是眶下神經通過的孔洞，而其他選項的孔洞名稱與其通過的血管名稱一致。這使得眶下孔成為正確答案，因為它的名稱與通過的血管不符。
11,下列何項功能，與第七對腦神經（CN VII）無關？,口水分泌,鼻黏膜分泌,臉部汗腺分泌,頰肌（buccinator）收縮,C,,生理學,第七對腦神經主要負責面部肌肉的運動及部分腺體的分泌，如口水和鼻黏膜分泌，但臉部汗腺的分泌主要由交感神經系統控制，因此選項 C 是正確答案。
12,下列何者同時支配上、中、下三個咽縮肌（pharyngeal constrictor muscles）？,舌咽神經（glossopharyngeal nerve）,三叉神經（trigeminal nerve）,迷走神經（vagus nerve）,舌下神經（hypoglossal nerve）,C,,解剖學,咽縮肌的運動主要由迷走神經支配，這使得選項 C 成為正確答案。舌咽神經主要支配咽部的感覺，而三叉神經和舌下神經則不參與咽縮肌的運動。
13,下列何者與張腭帆肌（tensor veli palatini muscle）具有相同來源的神經支配？,腭咽肌（palatopharyngeus）,頸闊肌（platysma）,鼓室張肌（tensor tympani）,莖突咽肌（stylopharyngeus）,C,,解剖學,張腭帆肌和鼓室張肌均由三叉神經的下頜支配，因此選項 C 是正確答案。其他選項的神經支配來源不同，無法與張腭帆肌相提並論。
14,上甲狀腺靜脈（superior thyroid vein）的血液，通常注入下列何者？,外頸靜脈（external jugular vein）,內頸靜脈（internal jugular vein）,頭臂靜脈（brachiocephalic vein）,前頸靜脈（anterior jugular vein）,B,,解剖學,上甲狀腺靜脈通常會注入內頸靜脈，這使得選項 B 成為正確答案。外頸靜脈和前頸靜脈雖然也與頸部靜脈系統有關，但並不是上甲狀腺靜脈的主要排出路徑。
15,解剖位置下，緊鄰心臟基部（base of the heart）、左心房正後方的器官為下列何者？,氣管（trachea）,降主動脈（descending aorta）,食道（esophagus）,右主支氣管（right main bronchus）,C,,解剖學,食道位於心臟基部的後方，特別是左心房的正後方，因此選項 C 是正確答案。其他選項的位置與心臟基部的關係不如食道明確。
16,解剖姿勢下，肺動脈幹（pulmonary trunk）通常約在下列何處，分支成左右肺動脈？,第四／第五胸椎高度處,第六／第七胸椎高度處,第一／第二胸椎高度處,第二／第三胸椎高度處,A,,解剖學,肺動脈幹通常在第四或第五胸椎的高度分支成左右肺動脈，因此選項 A 是正確答案。這一解剖位置對於理解肺部血液循環至關重要。
