id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
1,下列何者錯誤？,"(A)丙二醯輔酶A(Malonyl CoA)會抑制CPT1,減少脂肪酸的氧化",(B)丙二醯輔酶A(Malonyl CoA)可以透過脂肪酸合成酶(Fatty acid synthase) 合成脂肪酸,"(C)棕櫚酸(Palmitic acid)是一種必須脂肪酸,人體無法自行合成","(D)人體在饑餓的狀況下,會產生酮體(ketone body)作為能量來源",C,必需脂肪酸大多為omega-6和omega-3的脂肪酸。棕櫚酸人體可以合成，是非必需脂肪酸。,脂質代謝疾病 白哲聲
2,下列敘述何者錯誤？,"(A)低密度脂蛋白受體(LDL receptor)發生突變失去功能,會減少血中低密度脂蛋白膽固醇,加速動脈粥狀硬化",(B) Ezetimibe 可以抑制腸道中膽固醇的吸收硬化,(C)降膽固醇首選藥物是 statin 類,(D) fibrate 透過刺激過氧化物酶體增殖物活化受體a (PPAR a receptor)來降低血中三酸甘油脂(Triglyceride),A,LDL受體功能喪失會增加血中LDL膽固醇，並加速動脈粥狀硬化及相關的心血管疾病。,脂質代謝疾病 白哲聲
3,下列何者正確？,"(A)逆向膽固醇運輸(Reverse cholesterol transport)中,最重要的脂蛋白(lipoprotein)是LDL",(B) Chylomicron remant 透過其上的載脂蛋白E(ApoE)結合肝臟的受體回收到肝臟,(C) Chylomicron 負責空腹時的三酸甘油脂(Triglyceride)運輸,(D)肝臟產生載脂蛋白B48(ApoB48)來構成 VLDL,B,(A)逆向膽固醇運輸的主要脂蛋白是HDL。(C)Chylomicron主要在餐後運輸飲食中的三酸甘油酯，空腹時由VLDL運輸。(D)ApoB48由小腸合成，肝臟合成的是ApoB100。,脂質代謝疾病 白哲聲
4,下列何者是 lipoprotein lipase (LPL)的主要作用？,(A)促進膽固醇合成,(B)促進三酸甘油脂水解,(C)促進葡萄糖吸收,(D)促進肝臟葡萄糖生成,B,LPL的功能：促進三酸甘油酯的水解和製造HDL。,脂質代謝疾病 白哲聲
5,關於高血脂疾病的敘述何者錯誤？,"(A) Dysbetalipoproteinemia 的成因是因為 Apolipoprotein E有突變,造成脂蛋白回收異常","(B) Familial Hypercholesterolemia的患者,總膽固醇一定會超過900mg/dL","(C)糖尿病會造成的血脂異常為三酸甘油脂上升,HDL 下降","(D)肝臟的 Apolipoprotein B 製造增加,一般會讓血中三酸甘油脂及LDL 上升",B,Heterozygous形式總膽固醇>300mg/dL；Homozygous形式總膽固醇>600mg/dL(600-1000 mg/dl)，並非一定超過900。,脂質代謝疾病 白哲聲
6,下列何者錯誤？,"(A) statin類藥物是一種抑制 HMG-CoA還原酶的藥物,可以增加膽固醇的合成",(B)雌激素 Estrogen 會降低LDL 的濃度,(C)甲狀腺低下的患者其血中膽固醇濃度可能會上升,(D)高三酸甘油脂血症會增加胰臟炎的風險,A,敘述(A)中的「可以增加膽固醇的合成」是不正確的，因為statin的作用是降低膽固醇合成。,脂質代謝疾病 白哲聲
7,腎上腺皮質分泌哪一類激素？,(A)糖皮質激素、鹽皮質激素、性激素,(B)兒茶酚胺(Catecholamines),"(C)甲狀腺素(Thyroxine, T4)",(D)胰島素(Insulin),A,腎上腺皮質激素(Adrenocortical hormones)包含：鹽皮質激素、糖皮質激素、雄性素。,腎上腺生理學 鄭琮霖
8,腎上腺髓質分泌的主要激素是？,(A)皮質醇(Cortisol),(B)醛固酮(Aldosterone),(C)腎上腺素與正腎上腺素,(D)甲狀腺素,C,腎上腺髓質經下視丘的神經刺激後會釋放腎上腺素與正腎上腺素。,腎上腺生理學 鄭琮霖
9,皮質醇(Cortisol)的主要作用是？,(A)降低血糖,(B)抑制免疫反應並促進糖質新生作用,(C)促進水分重吸收,(D)直接刺激肌肉收縮,B,Cortisol的主要作用包括於肝臟促進糖質新生作用(Gluconeogenesis)，並有抗發炎與抑制免疫反應的效果。,腎上腺生理學 鄭琮霖
10,"當人體受到壓力(如受傷或飢餓)時,哪種激素的分泌會增加？",(A)甲狀腺素(T4),(B)胰島素(Insulin),(C)皮質醇(Cortisol),(D)雌激素(Estrogen),C,壓力會增加ACTH的分泌，進而導致糖皮質激素(Cortisol)釋放增加。,腎上腺生理學 鄭琮霖
11,促腎上腺皮質激素(ACTH) 對腎上腺的影響是？,(A)刺激腎上腺髓質分泌腎上腺素,(B)促進腎上腺髓質分泌正腎上腺素,(C)促進腎上腺皮質分泌醛固酮,(D)促進腎上腺皮質分泌皮質醇,D,HPA軸：下視丘(CRH) -> 腦下垂體前葉(ACTH) -> 腎上腺皮質(cortisol)。,腎上腺生理學 鄭琮霖
12,醛固酮(Aldosterone)的主要作用是？,(A)調節血鈣濃度,(B)促進鈉離子重吸收並排出鉀離子,(C)降低血壓,(D)促進胰島素分泌,B,Aldosterone的功能為促進腎小管重吸收鈉離子(Na+)，並分泌排出鉀離子(K+)或氫離子(H+)。,腎上腺生理學 鄭琮霖
13,甲狀腺激素(T3/T4)主要的生理功能是？,(A)促進骨骼生長與調節鈣平衡,(B)調節基礎代謝率與能量消耗,(C)促進腎上腺素的分泌,(D)促進血糖降低,B,甲狀腺激素的主要整體效應是增加氧氣消耗與提升基礎代謝率(Metabolic rate)。,甲狀腺的生理學 鄭琮霖
