id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,以下那些關於腹部影像的陳述，下列描述何者為誤？,膽囊和下腔靜脈的連線將肝臟分為左、右肝葉,在膽囊右側的肝臟是segment 5,胰腺分裂(pancreas divisum)的病人容易罹患胰腺癌(pancreatic cancer),胰腺分裂(pancreas divisum)可以分為complete 和incomplete,C,會增加胰臟炎風險,腹部影像解剖學,,胰腺分裂（pancreas divisum）是一種胰腺解剖變異，可能導致胰腺液流動不暢，增加胰臟炎的風險。這種情況下，胰腺的主導排泄通道未能正常發育，可能導致胰腺液在胰腺內部積聚，進而引發炎症或其他併發症。雖然胰腺分裂的患者可能面臨更高的胰臟炎風險，但並不直接導致胰腺癌的發生。因此，選項C是錯誤的陳述。
2,一般x 光攝影(KUB 或Plain Abdomen)有機會診斷出以下哪種疾病？,Colon cancer 結腸癌,Ischemic bowel disease 缺血性腸病,Gastritis 胃炎,Spleen rupture 脾破裂,B,X 光可以提示密度差異很明顯變化的疾病，像是因為缺血導致的黏膜層壞死進而使空氣被推入黏膜下層產生的積氣,腹部影像解剖學,,X光攝影在診斷缺血性腸病方面具有一定的價值，因為它能夠顯示腸道內部的氣體和液體分布。當腸道因缺血而發生壞死時，可能會出現氣體在黏膜下層的積聚，這在X光影像中會顯示為異常的氣體影像。因此，選項B是正確的，因為X光能夠提示這種病理變化。
3,與常規胃鏡檢查相比，關於虛擬胃鏡檢查的優點，下列描述何者為誤？,Can obtain samples,Wider field of view without restriction,Non-invasive,Measure the size,A,虛擬胃鏡不能採樣,腹部影像解剖學,,虛擬胃鏡檢查是一種非侵入性的影像學檢查方法，能夠提供更廣泛的視野，並且不需要進行實體插入。然而，虛擬胃鏡的缺點在於無法進行組織採樣，這是常規胃鏡檢查的一個重要功能。因此，選項A是錯誤的，因為虛擬胃鏡無法獲取樣本。
4,關於胃潰瘍(gastric ulcer)，下列描述何者為正確？,Carman-Kirklin Complex 診斷為惡性潰瘍,Hampton’s line 診斷為惡性潰瘍,Ulcer size 可作為良惡性潰瘍的診斷依據,Project line beyond the gastric wall 診斷為良性潰瘍,A、D,Carman-Kirklin Complex 是惡性潰瘍的典型表現，腫瘤中央發生潰瘍，ulcer在胃壁連線裡面；在胃壁連線的外側表示良性潰瘍，良性潰瘍周圍發炎產生水腫形成Hampton’s line。,消化系統影像學：胃腸系統疾病診斷,,Carman-Kirklin Complex是胃潰瘍的一個重要指標，通常與惡性潰瘍相關，因為它顯示了腫瘤中心的潰瘍。相對地，Hampton’s line則是良性潰瘍的指標，因為它顯示了潰瘍周圍的水腫。這些影像學特徵對於區分良性和惡性潰瘍至關重要，因此選項A和D都是正確的。
5,關於克隆氏症(Crohn’s disease)，下列描述何者為誤？,It is a chronic granulomatous inflammatory disease with a tendency toward remission and relapse,"The small intestine is involved in 80% of cases, most commonly at the terminal ileum",It is a continuous mucosal involvement disease,Malignant change is uncommon,C,連續的是Ulcerative Colitis,消化系統影像學：胃腸系統疾病診斷,,克隆氏症是一種慢性肉芽腫性炎症疾病，通常會出現緩解和復發的情況。它主要影響小腸，特別是末端迴腸。與潰瘍性結腸炎不同，克隆氏症並不是一種連續的黏膜參與疾病，而是可以在腸道的不同部位出現病變。因此，選項C是錯誤的，因為克隆氏症的病變是斷斷續續的，而不是連續的。
6,"關於胃腸道間質瘤(gastrointestinal stromal tumor, GIST)，下列描述何者為誤？",The radiological features cannot be distinct from those of epithelial tumors (gastric cancer),"On contrast-enhanced CT images, most cases showed preserved well enhanced mucosal layer","The most common mesenchymal neoplasm of the GI tract, approximately 60%-70% are found in the stomach",The most common clinical manifestation in the stomach is Gi bleeding from mucosal ulceration,A,在影像上可以區分，因為是間質瘤所以黏膜層還在,消化系統影像學：胃腸系統疾病診斷,,胃腸道間質瘤（GIST）是一種最常見的腸道間質腫瘤，通常在影像學上可以與上皮腫瘤（如胃癌）區分開來。GIST的影像特徵通常顯示黏膜層保持良好，這是其與上皮腫瘤的主要區別。因此，選項A是錯誤的，因為GIST的影像學特徵是可以被區分的。
7,Where should the percutaneous gastrostomy tube placement need to be targeting placement into stomach gas?進行經皮胃造口(PEG)置管時，應瞄準胃內哪個充滿氣體的區域進行穿刺？,,,,,A,胃的位置在左上角,消化系統介入性放射線學,,在進行經皮胃造口（PEG）置管時，正確的穿刺位置非常重要。通常，胃的位置位於左上腹部，並且在影像學上，胃內的氣體可以作為定位的參考。因此，選擇正確的穿刺位置可以確保置管的成功率和安全性。
8,你覺得白色結節（箭頭處）代表？,Contrast medium 對比劑介質,Calculi 結石,Fat 油,Water 水,B,箭頭處為白色，在CT影像中骨頭、鈣化、結石及對比劑會呈現白色。觀察脊椎前方的主動脈，均為灰色、未顯影，可排除使用對比劑，故此結節只能是本身具有高密度的物質，即為結石,消化系統介入性放射線學,,在CT影像中，白色結節通常代表高密度的物質，如結石、鈣化或骨頭。由於箭頭處的結節顯示為白色，這表明它可能是結石。根據影像學的特徵，結石在CT影像中通常呈現高密度，因此選項B是正確的。
9,以下是膽道顯影充盈右肝在側投射視角膽道造影，未能顯現的肝葉是哪一部分？,S2,S6,S7,S8,A,S2在左肝，此處顯影右肝故看不到,消化系統介入性放射線學,,在膽道造影中，當右肝充盈時，左肝的S2區域可能因為顯影不足而無法顯示。這是因為S2位於左肝，當影像主要集中在右肝時，左肝的顯影會受到影響。因此，選項A是正確的，因為在這種情況下，S2區域未能顯現。
10,下列哪一項影像檢查能在不使用電離輻射或對比劑的情況下，提供三維(3D)的膽道系統影像？,內視鏡逆行性膽管造影術,磁振膽胰管造影,經皮穿刺膽管造影術,電腦斷層膽管造影術,B,MRCP 是利用核磁共振技術，單純靠膽汁本身的液體訊號就能做3D 重組，所以完全不用打顯影劑、也沒有輻射線,消化系統(肝膽胰)放射線學,,磁振膽胰管造影（MRCP）是一種非侵入性的影像檢查技術，利用核磁共振成像技術來獲取膽道系統的三維影像。與傳統的影像檢查方法相比，MRCP不需要使用電離輻射或對比劑，這使得它在臨床上對於需要避免輻射的患者（如孕婦或兒童）特別有價值。MRCP的原理是基於膽汁的液體訊號，通過對這些信號的重組，可以清晰地顯示膽道的解剖結構，並且能夠有效地檢測膽道的病變，如結石或腫瘤等。因此，MRCP成為了膽道系統檢查的重要工具，尤其是在需要詳細了解膽道結構的情況下。
11,下列哪一項影像檢查能在活體內(In Vivo)同時提供臨床上的代谢與解到資訊？,內視鏡逆行性膽胰管造影術,正子電腦斷層掃描,膽道核醫掃描,動態對比增強電腦斷層掃描,B、C,PET-CT 結合了正子掃描(PET)提供的細胞代謝功能資訊，以及CT 提供的精準解剖定位。而膽道核醫掃描如HIDA，是利用放射性同位素追蹤劑，藉由肝細胞攝取與排泄的代謝過程，來動態顯現膽囊和膽道的解剖結構與功能,消化系統(肝膽胰)放射線學,,正子電腦斷層掃描（PET-CT）是一種結合了正子掃描和電腦斷層掃描的影像檢查技術，能夠在活體內提供細胞代謝功能和精確的解剖定位資訊。PET掃描利用放射性同位素標記的葡萄糖，能夠顯示出細胞的代謝活動，特別是在腫瘤檢測中具有重要意義。另一方面，膽道核醫掃描（如HIDA掃描）則是利用放射性同位素追蹤劑，能夠動態顯示膽囊和膽道的解剖結構及其功能。這兩種檢查方法的結合，使得醫生能夠更全面地了解患者的病情，並制定更有效的治療方案。
