id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,"何先生兩年前因胃癌接受胃切除手術，最近因為頻繁胃痛安排胃鏡檢查，其報告中有""胃出口擴張""及""多處十二指腸潰瘍""等敘述。請問何先生之前的胃癌切除手術最可能是以何種方式進行胃腸道重建？",Roux-en-Y吻合術,Billroth II吻合術,Billroth I吻合術,以上皆可能,C,Billroth I: 胃和12指腸相接，最符合生理; Billroth II: 胃和空腸吻合，12指腸封起來; Roux-en-Y: 後面空腸截斷拉上去與胃相接。依照題幹，手術後仍保留胃和12指腸者，選Billroth I。,消化道臨床解剖學,,在胃癌手術後，胃腸道的重建方式對於患者的消化功能及生活品質有著重要影響。Billroth I吻合術是將胃的末端與十二指腸直接相連，這樣的方式保留了胃的生理功能，並且能夠有效地減少術後併發症的風險。相對於Billroth II吻合術，後者會將胃與空腸相連，並封閉十二指腸，這可能會導致消化不良及其他問題。而Roux-en-Y吻合術則是將空腸的一部分拉上來與胃相連，這在某些情況下是必要的，但對於保留胃和十二指腸的連接，Billroth I是更合適的選擇。因此，根據題目描述，何先生的手術方式最可能是Billroth I吻合術。
2,進行腹腔鏡膽囊切除(laparoscopic cholescystectomy)手術時，以下動脈何者最容易被誤傷？,固有肝動脈(proper hepatic artery),總肝動脈(common hepatic artery),左肝動脈(left hepatic artery),右肝動脈(right hepatic artery),D,老師上課口述，講義沒有明確的文字說明，原因是要切除膽囊，需要剪開cystic duct，然而，常常因為發炎或腫瘤，導致周圍組織沾黏，所以容易誤傷與cystic duct平行的right hepatic a.,消化道臨床解剖學,,在腹腔鏡膽囊切除手術中，外科醫生需要小心處理周圍的血管，特別是右肝動脈。由於膽囊位於肝臟的下方，手術過程中需要切開膽囊管，這使得右肝動脈容易受到損傷。右肝動脈與膽囊管的解剖位置相近，當周圍組織因發炎或腫瘤而產生粘連時，外科醫生在進行手術時可能會誤傷這條動脈，導致出血或其他併發症。因此，了解這些解剖結構及其相互關係對於提高手術安全性至關重要。
3,有關左肝葉切除(Left hepatic lobectomy)手術，切除範圍不包含下列何者？,第一段(Segment 1),第二段(Segment 2),第三段(Segment 3),第四段(Segment 4),A,如下圖，左肝葉切除(Left hepatic lobectomy)手術切除segment 2~4,消化道臨床解剖學,,左肝葉切除手術主要是針對肝臟的左側進行切除，通常包括第二段、第三段和第四段的組織。第一段(Segment 1)則是肝臟的尾狀葉，這部分通常不會在左肝葉切除中被切除。了解肝臟的解剖結構及各段的功能對於外科醫生在進行手術時至關重要，因為這有助於保留肝臟的功能並減少術後併發症的風險。手術的成功與否不僅取決於切除的範圍，還取決於對肝臟解剖的深入理解。
4,下例哪一條動脈並無供應胰臟的血流？,胃十二脂腸動脈 (gastroduodenal artery),右胃動脈 (right gastric artery),脾動脈 (splenic artery),上腸繁膜動脈 (superior mesenteric artery),B,老師的講義圖：另外找的圖片,消化道臨床解剖學,,胰臟的血液供應主要來自於脾動脈、上腸繫膜動脈以及胃十二指腸動脈。右胃動脈則主要供應胃的血流，並不直接供應胰臟。因此，在考慮胰臟的血流供應時，右胃動脈並不是一條主要的供應動脈。了解這些血管的解剖學及其供應範圍對於外科手術及診斷胰臟疾病至關重要，因為這有助於外科醫生在手術中避免損傷重要的血管結構，並確保胰臟的正常血流供應。
5,闌尾(appendix)最常見的惡性腫瘤為？,神經內分泌腫瘤(neuroendocrine neoplasm),乳突狀腺癌(papillary adenocarcinoma),杯狀細胞腺癌(globlet cell adenocarcinoma),黏液性腺癌(mucinous adenocarcinoma),A,,消化道病理學(I),,闌尾最常見的惡性腫瘤是神經內分泌腫瘤，這類腫瘤起源於神經內分泌細胞，通常具有較高的惡性潛力。雖然其他腺癌如乳突狀腺癌和黏液性腺癌也可能出現於闌尾，但神經內分泌腫瘤的發生率較高，且其臨床表現和預後特徵與其他類型的腫瘤有所不同。了解這些腫瘤的特性對於早期診斷和治療至關重要。
6,下列基因的變異，何者與家族性結直腸瘜肉綜合症(familial adenomatous polyposis)最有關？,MSH2,APC,MSH6,MLH1,B,,消化道病理學(I),,家族性結直腸瘜肉綜合症主要與APC基因的突變有關。APC基因是一種腫瘤抑制基因，其突變會導致腸道內形成多個瘜肉，這些瘜肉有可能進一步轉變為結腸癌。了解APC基因的功能及其突變對於早期篩檢和預防結腸癌具有重要意義。
7,"腸胃道基質瘤(gastrointestinal stromal tumor, GIST)第二常見的突變基因是",PDGFRA,c-KIT,BRAF,Her2/Neu,A,,消化道病理學(I),,腸胃道基質瘤（GIST）是一種起源於腸道間質細胞的腫瘤，c-KIT基因的突變是最常見的，而PDGFRA則是第二常見的突變基因。這些基因的突變影響腫瘤的生長和發展，了解這些突變有助於制定針對性的治療方案，特別是使用酪氨酸激酶抑制劑的治療策略。
8,"腸胃道基質瘤(gastrointestinal stromal tumor, GIST)的 AJCC 第八版期別群(Stage group)決定因子不包括：",遠端轉移,腫瘤大小,有絲分裂頻率,組織侵犯深度,D,,消化道病理學(I),,AJCC第八版對於腸胃道基質瘤的分期主要考量腫瘤的大小、遠端轉移及有絲分裂頻率等因素，而組織侵犯深度並不在其主要考量範圍內。這是因為GIST的生物學行為與其他腫瘤不同，了解這些分期標準對於臨床治療和預後評估至關重要。
9,有關巴雷特氏食道(Barrett esophagus)的敘述，下列何者最錯誤？,最好發於少飲酒之亞裔男性,是逆行性食道炎(reflux esophagus)的併發症,是食道腺癌(adenocarcinoma)的危險因子之一,組織學特徵是在食道黏膜看見腸道杯狀細胞,A,長期酗酒為巴雷特氏食道(Barrett esophagus)的危險因子之一,消化道病理學(II),,巴雷特氏食道是一種由於長期胃酸逆流引起的食道黏膜變化，最常見於有胃食道逆流病史的患者。選項A的說法不正確，因為長期酗酒實際上是巴雷特氏食道的危險因子之一。這種病理變化可能導致食道腺癌的風險增加，因此對於有相關病史的患者，應進行定期檢查以早期發現潛在的惡性變化。
10,下列何種組織型態預後最差？,L-cell tumor (L細胞腫瘤),ECL cell tumor (類腸嗜鉻細胞細胞腫瘤),Small cell carcinoma (小細胞癌),Gastrinoma (胃泌素腫瘤),C,小細胞癌分化較差，預後較差；且Ki-67 index或是Mitotic index都是數字越大，預後越差。,消化道病理學(II),,小細胞癌是一種高度惡性的腫瘤，通常與較差的預後相關。這類腫瘤的細胞分化程度低，增殖指數（如Ki-67指數）和有絲分裂指數通常較高，顯示出其快速增長的特性。由於小細胞癌的侵襲性強，早期診斷和治療至關重要，否則患者的生存率將顯著降低。
11,以下針對腸道惠氏症(Whipple disease)組織描述何者最佳？,由革蘭氏陰性菌導致,乾酪狀肉芽腫,膿瘍,泡沫狀巨噬細胞(foamy macrophage),D,,消化道病理學(II),,腸道惠氏症是由Tropheryma whipplei這種革蘭氏陽性細菌引起的慢性感染，特徵是腸道內出現泡沫狀巨噬細胞。這些巨噬細胞含有大量的脂肪物質，並且在組織學檢查中非常明顯。了解這種病理特徵有助於正確診斷和治療腸道惠氏症，因為早期的抗生素治療對於改善預後至關重要。
12,何種腺癌分化最差？,管狀腺癌(tubular adenocarcinoma),戒細胞腺癌(signet-ring cell adenocarcinoma),乳突狀腺癌(papillary adenocarcinoma),篩版狀腺癌(cribriform adenocarcinoma),B,老師上課口頭有提到戒細胞腺癌分化較差。,消化道病理學(II),,戒細胞腺癌是一種特殊類型的腺癌，其細胞形態特徵為細胞內含有大量的黏液，並且通常呈現出較差的分化程度。這類腺癌的預後通常較差，因為其生物學行為較為侵襲性，且對於常規治療的反應較差。了解戒細胞腺癌的特徵對於臨床診斷和治療策略的制定至關重要。
13,根據課堂中的影片，以Organ chamber進行消化道平滑肌收縮的生理實驗時，當組織緩衝液的pH=5後，請問會發生何種變化？,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會緩緩地往下掉,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會立刻停住,D,pH降到5時，腸道運動會如同時間凍結一樣立刻停下，直接停止收縮，但張力不會消失，因此會看到紀錄筆立刻停住。,消化系統生理學實驗(與臨床結合),,在消化道平滑肌的生理實驗中，當pH值降至5時，腸道平滑肌的收縮會立即停止，這是因為酸性環境會抑制平滑肌的活動。這種現象類似於生理學中的「時間凍結」，即使肌肉的張力仍然存在，但收縮活動卻會被完全抑制。這一點對於理解腸道的生理功能及其對環境變化的反應至關重要。
14,根據課堂中的影片，以Organ chamber進行消化道平滑肌收縮的生理實驗時，當組織緩衝液的溫度5°C後，請問會發生何種變化？,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會緩緩地往下掉,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會立刻停住,B,如圖所示，肌肉張力會慢慢下降，所以紀錄筆會緩緩往下掉。,消化系統生理學實驗(與臨床結合),,在消化道平滑肌的生理實驗中，當溫度降至5°C時，平滑肌的收縮能力會逐漸減弱，這是因為低溫會影響肌肉的代謝和神經傳導，導致肌肉的張力逐漸下降。因此，紀錄筆會緩緩往下掉，這一現象對於理解平滑肌的生理特性及其對環境變化的反應非常重要。
15,下列有關腸內桿菌科(Enterobacteriaceae)細菌的敘述何者錯誤？,可發酵葡萄糖，不具氧化酶，O抗原是細胞壁脂多醣,"可發酵乳糖者如E. coli, Klebieslla，在MacConkey agar形成粉紅至紫色的菌落",溶血性尿毒症候群最有可能是Enteroinvasive E. coli感染導致的併發症,志賀氏桿菌以人類為宿主，會侵入腸道細胞並在細胞間擴散，是桿菌性痢疾的主要病原菌,C,,消化系統之細菌感染,,腸內桿菌科是包括多種重要病原菌的細菌家族，其中包括大腸桿菌和志賀氏桿菌。選項C提到的溶血性尿毒症候群（HUS）通常是由腸出血性大腸桿菌（E. coli O157:H7）引起，而非Enteroinvasive E. coli。HUS的發生與腸道感染後的併發症有關，主要是由於腸道細菌釋放的毒素影響腎臟功能。因此，選項C的敘述是錯誤的。
