id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,下列哪一個結構屬於前腸衍生物?,空腸,脾臟,肝臟實質细胞,橫中膈,C,正解： (C) 詳解： (A)由中腸(Midgut)發育而來 (B)由背側繫膜間葉組織(中胚層)發育而來 (D)胚胎早期的中胚層構造,胚胎學V1 消化系統胚胎學 陳永佳,前腸是胚胎發育過程中的一個重要部分，主要發育成食道、胃及部分腸道結構。肝臟實質細胞是由前腸的內胚層發育而來，因此選擇(C)為正確答案。其他選項如空腸屬於中腸的發育，脾臟則由中胚層發育，而橫中膈則是中胚層的結構，這些都不屬於前腸的衍生物。
2,下列哪一個結構屬於後腸(Hindgut)衍生?,盲腸,橫結腸右半部,直腸,十二指腸上半部,C,正解： (C) 詳解： (A)由中腸發育而來 (B)橫結腸的前三分之二屬於中腸衍生物；後三分之一屬於後腸衍生物 (D)十二指腸上半部屬於前腸衍生物，十二指腸下半部屬於中腸衍生物,胚胎學V1 消化系統胚胎學 陳永佳,後腸是胚胎發育過程中的一部分，主要發育成結腸、直腸及肛門等結構。選項(C)直腸是後腸的主要衍生物，其他選項如盲腸和橫結腸的部分結構則屬於中腸的發育，而十二指腸的上半部則屬於前腸的發育，因此正確答案為(C)。
3,中腸旋轉是以何者為軸心?,腹主動脈,腹腔動脈幹,上腸繫膜動脈,下腸繫膜動脈,C,正解： (C) 詳解： 中腸以上腸繫膜動脈(SMA)作為中心軸，進行總共270 度逆時針的旋轉,胚胎學V1 消化系統胚胎學 陳永佳,中腸的旋轉是胚胎發育過程中的一個重要步驟，主要是以上腸繫膜動脈(SMA)為中心進行270度的逆時針旋轉。這一過程對於腸道的正常定位及功能發展至關重要。選擇(C)為正確答案，因為其他選項並不是中腸旋轉的軸心。
4,關於中腸(Midgut)的分化，下列敘述何者正確?,中腸頭端發育成十二指腸遠端與空腸,中腸尾端發育成十二指腸遠端與空腸,中腸頭端發育成迴腸與盲腸,中腸尾端發育成胃與十二指腸近端,A,正解： (A) 詳解： (B)(C)(D) 中腸頭端發育成十二指腸遠端與空腸；中腸尾端發育成迴腸與盲腸,胚胎學V1 消化系統胚胎學 陳永佳,中腸的分化過程中，頭端部分發育成十二指腸的遠端及空腸，而尾端則發育成迴腸及盲腸。這一過程是胚胎發育的重要階段，正確選擇(A)是因為它準確描述了中腸的分化過程。其他選項的描述均不正確，因為它們混淆了中腸的不同部分的發育。
5,關於胚胎消化系統相關器官的來源，下列敘述何者正確?,胰臟由中腸衍生,膽囊管由肝憩室尾端發育而來,脾臟由前腸內胚層直接形成,腹側胰芽與背側胰芽最終共同形成胰臟，主胰管完全源自腹側胰管,B,正解： (B) 詳解： (A)胰臟來自前腸末端的內胚層上皮細胞 (C)脾臟是由背側繫膜間葉組織發育而來 (D)主胰管由遠端背胰管+全部的腹胰管形成,胚胎學V1 消化系統胚胎學 陳永佳,胰臟的發育是由前腸的內胚層上皮細胞形成，而膽囊管則是由肝憩室的尾端發育而來，因此選擇(B)為正確答案。其他選項的描述均不正確，因為脾臟的來源是中胚層，而主胰管的形成涉及到腹側和背側胰芽的共同作用。
6,關於梅克爾憩室的敘述，下列何者正確?,由前腸殘餘結構形成,常位於十二指腸近端,發生率通常女性高於男性,由卵黃管未完全消失所致,D,正解： (D) 詳解： (A)由中腸殘餘結構形成 (B)位於迴腸上，通常距離迴盲瓣約2 英尺，即約60 公分處 (C)發生率通常男性高於女性，男女比約為 2:1,胚胎學V1 消化系統胚胎學 陳永佳,梅克爾憩室是由卵黃管未完全消失所形成的結構，通常位於迴腸的上方，而非十二指腸的近端。選擇(D)為正確答案，因為它準確描述了梅克爾憩室的形成原因。其他選項的描述均不正確，因為梅克爾憩室的發生率在男性中較高，且其位置與描述不符。
7,關於胃腸道系統的主要功能，下列何者最正確?,運動主要是指營養素由腸腔進入血液的過程。,分泌是指大分子被酵素分解成小分子的過程。,消化是將大顆粒或高分子物質分解為較小分子的過程。,吸收主要是防止腸腔細菌穿越上皮屏障的功能。,C,正解： (C) 詳解： 送分題，一定要會,生理學V1-3 消化系統生理學 黃炯瑋,胃腸道系統的主要功能包括運動、分泌、消化和吸收。消化的過程是將大顆粒或高分子物質分解為較小分子的過程，這一過程對於營養素的吸收至關重要。因此選擇(C)為正確答案。其他選項的描述不夠準確，未能正確反映胃腸道的功能。
8,關於腸神經系統的敘述何者正確？,黏膜下神經叢主要支配胃腸平滑肌,腸肌神經叢主要支配上皮細胞分泌,腸神經系統的神經元位於腸壁內，因此具有一定程度的自主調控能力,腸神經系統完全依賴中樞神經系統才能產生任何反射,C,正解： C 詳解： (A)(B)寫反了 (D)也有ENS 腸神經叢支配,生理學V1-V3 消化系統生理學 黃炯偉,腸神經系統(ENS)是胃腸道的自主神經系統，具有獨立於中樞神經系統的調控能力。選擇(C)為正確答案，因為ENS的神經元位於腸壁內，能夠自主調節腸道的運動和分泌。其他選項的描述不正確，因為黏膜下神經叢主要負責分泌，而腸肌神經叢則主要支配平滑肌的運動。
9,關於卡哈氏間質細胞的敘述，下列何者最正確？,ICC 是胃腸道的主要吸收細胞，可吸收葡萄糖與胺基酸,ICC 是胃腸道平滑肌的節律產生細胞，與慢波電位有關,ICC 只存在於胃黏膜上皮，不參與平滑肌運動,ICC 的去極化主要由鈉離子外流所造成,B,正解： B 詳解： 基本題。(D)為鈣離子流入,生理學V1-V3 消化系統生理學 黃炯偉,卡哈氏間質細胞(ICC)是胃腸道平滑肌的節律產生細胞，負責產生慢波電位，這對於腸道的運動至關重要。選擇(B)為正確答案，因為ICC的功能與平滑肌的運動密切相關。其他選項的描述不正確，因為ICC並不是主要的吸收細胞，且其去極化主要是由鈣離子的流入所引起，而非鈉離子的外流。
10,"關於自主神經系統（autonomic nervous system, ANS）對胃腸運動的影響，下列何者正確？",副交感神經通常促進胃腸平滑肌收縮,交感神經通常促進胃排空與腸蠕動,副交感神經主要釋放正腎上腺素抑制胃腸運動,交感神經主要釋放乙醯膽鹼促進腸道分泌,A,(B)交感神經抑制腸道運動 (C)(D)交感/副交感神經寫反,生理學V1-V3 黃炯偉 消化系統生理學,自主神經系統對胃腸運動的調控主要由副交感神經和交感神經兩部分組成。副交感神經通常促進胃腸平滑肌的收縮，這是因為其釋放的神經遞質如乙醯膽鹼能夠刺激平滑肌的活動，從而促進消化過程。而交感神經則相反，通常會抑制腸道運動，這是因為交感神經在應激狀態下會釋放正腎上腺素，導致腸道活動減少，從而優先將能量分配給其他更為重要的生理功能。因此，選項A是正確的，因為它準確描述了副交感神經的功能。
