id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
1,"關於小腸出血的影像檢查,下列何者具有立即止血的優勢?",(A)Computed tomography angiography。,(B)Technetium-99m-labeled red blood cell scan。,(C)Meckel' s diverticulum scintigraphy。,(D)Deep enteroscopy。,D,"(A)(B)(C)選項可以判斷出血位置,但無法立即止血。而(D)選項屬於侵入式檢查可以抵達出血點,並可以立即透過內視鏡來止血。",小腸疾病的診斷與治療 王耀廣
2,"關於小腸出血的處置,下列敘述何者為非?","(A)急性大量出血時,深部小腸鏡是第一優先的檢查方式。","(B)如果出血位置不明,建議從口側進行深部小腸鏡檢查。","(C)年輕人的小腸出血,應考量執行 Meckel's scan。","(D)針對電腦斷層血管攝影有發現出血的病人,可使用血管攝影的方式進行栓塞止血。",A,"急性大量出血(hemodynamically unstable 或持續性出血)的第一線應為「緊急影像檢查(CTA, CT angiography)或血管攝影」。",小腸疾病的診斷與治療 王耀廣
3,下列敘述何者正確?,(A)Bile 中的 bilirubin 主要是人體內heme 代謝後的產物,(B)人體內的膽汁(bile juice)是由膽囊(Gallbladder)製造產生,(C)cholesterol gallstone 的形成主要是和膽道系統發生細菌感染有關,"(D)pregnancy 是膽石症相關的 risk factor,主要是因為懷孕過程中 progesterone 會增加 bile acid 的分泌以及膽囊收縮排空的能力",A,(A)正確。(B)膽汁由肝臟製造。(C) Brown pigment gallstone 形成主要是和細菌感染有關。(D) 懷孕中 progesterone 會減少膽囊收縮排空的能力造成膽汁鬱積。,膽結石及先天性膽道疾病 王森稔
4,下列敘述何者正確?,"(A)Gallstone 所引起的 biliary colic 是指病人的上腹疼痛通常和進食有關,且常合併有後背痛或右肩疼痛的情形","(B)Charcot' s triad 描述 acute cholangitis 病人的常見症狀,包括:腹瀉、發燒及黃疸","(C)Gallstone ileus 常發生在老人家,其cholecystoenteric fistula 最常發生在 stomach","(D)Todani classification 描述 Choledochal cyst 的不同型態,其中type2臨床上最常見",A,(A)正確。(B)Charcot's triad症狀為：發燒、黃疸、腹痛(無腹瀉)。(C)fistula最常發生在duodenum。(D)以type Ia最為常見。,膽結石及先天性膽道疾病 王森稔
5,"下列那一種胰臟腫瘤,初診斷時建議可先觀察不用考慮評估接受手術切除治療?",(A)Pancreatic neuroendocrine tumor,(B)Solid pseudopapillary neoplasms,(C)Main-duct Intraductal papillary mucinous neoplasms (IPMNs),(D)Serous cystadenomas,D,Serous cystadenomas 幾乎都是良性(almost always benign)，除非長得太大或造成症狀，否則通常建議影像追蹤觀察即可。,胰臟腫瘤及傷害 王森稔
6,有關胰漏(Postoperative pancreatic fistula; POPF)下列敘述何者錯誤?,(A)常發生在胰臟手術之後,"(B)Whipple procedure 後若發生POPF,其衍生出的出血常是因為 gastro-duodenal artery(GDA)發生 pseudoaneurysm 破裂所致,死亡率極高",(C)相關的危險因子包括胰臟組織過軟以及胰管過細等,(D)發生胰漏的病人建議立即接受手術處理,D,發生胰漏合併感染性積液(infected fluid collection)時，診斷後通常首選影像引導的經皮導管引流術(percutaneous drainage)來處理，而非立即手術。,胰臟腫瘤及傷害 王森稔
7,"一位56歲女性,無特殊病史或手術史,僅有長期便秘使用藥物,但昨天無排便。昨晚因腹漲,上腹悶痛及噁心至急診就診,經藥物治療後返家,但半夜開始有發燒的情形,中午再度來到急診,且疼痛位置變成了右下腹部。急診醫師請你協助執行腹部理學檢查,並說了一句她疼痛位置的改變很像是 Aaron's sign。請問你執行腹部理學檢查時,下列哪些是與急診醫師推測的診斷是相關的? 1.檢查 McBurney's point 2.Murphy's sign 3.Psoas sign 4.Rovsing's sign 5.Right side flank knocking pain.",(A) 123,(B) 134,(C) 245,(D) 1234,B,急診醫師懷疑為急性闌尾炎。McBurney's point、Psoas sign、Rovsing's sign及Aaron's sign皆為闌尾炎徵象。Murphy's sign為膽囊炎徵象，Flank knocking pain為腎盂腎炎徵象。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀 胡晃鳴
8,"一位75歲有中風病史的男性因腹痛,腹漲及噁心,在媳婦陪伴下就診,當徵得病患同意進行腹部 理學檢查時,以下的敘述哪些較不適當? 1.請患者平躺,掀開衣服以露出腹部,雙手置於胸前,雙膝彎曲踩在床上 2.理學檢查的步驟以視(inspection)聽(auscultation),叩(percussion )觸(palpation)依序進行。3.進行觸診時,從最疼痛的地方開始 4.為避免醫療糾紛,請女性護理師不要陪同。",(A) 12,(B) 34,(C) 13,(D) 4,B,3.觸診必須由「最不痛」的地方開始。4.進行身體檢查時需有女性護理人員陪同。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀 胡晃鳴
9,"續上題,當衣服掀開時,主治醫師懷疑有肝硬化的可能性,請問,主治醫師發現了什麼? 1.肚臍有結節(Sister Mary Joseph's nodule) 2.胸部皮膚有數個蜘蛛痣(Spider angioma) 3.肚臍出現腫脹的血管,像蛇女頭(Caput medusae) 4.兩側腰部瘀青(Grey-Turner's sign)",(A) 1234,(B) 123,(C) 14,(D) 23,D,蜘蛛痣(>3個)與蛇女頭肚臍靜脈曲張為肝硬化/門脈高壓典型外觀。Sister Mary Joseph's nodule代表腹內癌症轉移(如胰臟癌)；Grey-Turner's sign代表後腹腔出血。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀 胡晃鳴
10,"在腹部理學檢查過程中,病患有嘔吐情形,主治醫師請你協助放置鼻胃管以避免病患持續嘔吐而嗆到。放置鼻胃管相關細節,下列何者錯誤?",(A)將床頭抬高30~60度。,"(B)測量鼻孔到耳根的距離加上耳根到劍突末端的距離,作為鼻胃管放入長度的參考。","(C)鼻胃管前端朝下,管子的彎度順著鼻孔的底部慢慢插入,到達鼻咽時可請病人同時做吞嚥動作。","(D)確定鼻胃管位置是否正確時,用灌食空針打入白開水,評估是否有阻力或病人是否有咳嗽情形。",D,確認鼻胃管位置正確的方法應為回抽看是否有胃內容物，或打入少量空氣同時用聽診器在胃部聽是否有氣泡音。絕對不能直接灌水。,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀 胡晃鳴
